選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
高谷　裕亮,ソフトバンク,0.667,12.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.667,0.667,1.333,28.02,24.3,2011.0,1450,捕手,5,30,1981/11/13,179cm,83kg,O型,右左,栃木,False
内川　聖一,ソフトバンク,0.338,114.0,463.0,429.0,145.0,12.0,74.0,4.0,25.0,2.0,48.0,0.0,3.0,0.371,0.485,0.856,7.12,6.92,2011.0,17000,外野手,11,29,1982/08/04,184cm,92kg,B型,右右,大分,False
下山　真二,オリックス,0.333,14.0,32.0,27.0,9.0,0.0,0.0,0.0,1.0,1.0,9.0,3.0,3.0,0.379,0.444,0.824,3.98,3.56,2011.0,3800,外野手,9,36,1975/12/01,175cm,75kg,A型,右右,兵庫,False
山本　芳彦,広島,0.333,17.0,27.0,27.0,9.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.333,0.37,0.704,4.16,3.84,2011.0,750,内野手,10,28,1983/11/06,186cm,86kg,B型,右右,和歌山,False
深江　真登,オリックス,0.333,29.0,13.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.333,0.333,0.667,4.63,4.38,2011.0,500,外野手,1,24,1987/09/05,180cm,75kg,不明,右左,神奈川,False
中村　悠平,ヤクルト,0.333,13.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,4.55,4.32,2011.0,580,捕手,3,21,1990/06/17,176cm,70kg,A型,右右,福井,False
谷　哲也,中日,0.333,2.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.333,0.5,0.833,6.42,5.67,2011.0,800,内野手,4,26,1985/07/09,180cm,78kg,A型,右右,徳島,False
岩舘　学,日本ハム,0.333,6.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,4.55,4.32,2011.0,800,内野手,8,30,1981/04/14,177cm,76kg,A型,右右,千葉,False
糸井　嘉男,日本ハム,0.319,137.0,578.0,489.0,156.0,11.0,54.0,31.0,59.0,19.0,91.0,9.0,5.0,0.411,0.448,0.859,7.43,7.11,2011.0,10000,外野手,8,30,1981/07/31,187cm,88kg,A型,右左,京都,False
村田　和哉,日本ハム,0.318,52.0,23.0,22.0,7.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,0.0,0.318,0.318,0.636,3.37,3.33,2011.0,1050,外野手,4,26,1985/07/23,165cm,65kg,B型,右左,千葉,False
長野　久義,巨人,0.316,140.0,578.0,519.0,164.0,17.0,69.0,19.0,48.0,6.0,85.0,3.0,11.0,0.379,0.468,0.847,6.46,6.23,2011.0,3500,外野手,2,27,1984/12/06,180cm,80kg,O型,右右,佐賀,False
後藤　光尊,オリックス,0.312,130.0,553.0,526.0,164.0,8.0,55.0,14.0,17.0,5.0,74.0,0.0,9.0,0.336,0.409,0.745,5.02,4.88,2011.0,10000,内野手,10,33,1978/07/27,175cm,75kg,A型,右左,秋田,False
マートン,阪神,0.311,142.0,606.0,579.0,180.0,13.0,60.0,6.0,24.0,1.0,76.0,1.0,13.0,0.339,0.423,0.762,5.08,4.87,2011.0,20000,外野手,2,30,1981/10/03,185cm,99kg,不明,右右,アメリカ,True
松中　信彦,ソフトバンク,0.308,88.0,304.0,266.0,82.0,12.0,36.0,0.0,29.0,5.0,38.0,0.0,2.0,0.383,0.504,0.887,7.41,7.24,2011.0,20000,外野手,15,38,1973/12/26,183cm,98kg,B型,左左,熊本,False
栗山　巧,西武,0.307,144.0,653.0,557.0,171.0,3.0,60.0,6.0,73.0,8.0,90.0,9.0,17.0,0.391,0.384,0.776,5.6,5.45,2011.0,13500,外野手,10,28,1983/09/03,177cm,85kg,O型,右左,兵庫,False
大崎　雄太朗,西武,0.306,36.0,86.0,72.0,22.0,0.0,5.0,3.0,7.0,1.0,8.0,6.0,2.0,0.375,0.361,0.736,4.99,4.69,2011.0,1200,外野手,5,27,1984/10/18,169cm,74kg,O型,右左,茨城,False
本多　雄一,ソフトバンク,0.305,144.0,633.0,522.0,159.0,0.0,43.0,60.0,53.0,1.0,78.0,53.0,4.0,0.367,0.368,0.735,5.05,4.9,2011.0,11000,内野手,6,27,1984/11/19,173cm,71kg,O型,右左,福岡,False
赤田　将吾,オリックス,0.305,77.0,246.0,226.0,69.0,0.0,17.0,0.0,18.0,0.0,52.0,2.0,3.0,0.357,0.35,0.706,4.52,4.32,2011.0,4100,外野手,13,31,1980/09/01,179cm,83kg,A型,右両,鹿児島,False
