選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
藤田　一也,横浜,0.303,96.0,208.0,188.0,57.0,1.0,15.0,0.0,10.0,7.0,20.0,3.0,3.0,0.361,0.372,0.733,5.09,4.84,2011.0,3550,内野手,7,29,1982/07/03,175cm,75kg,O型,右左,徳島,False
宮本　慎也,ヤクルト,0.302,136.0,518.0,474.0,143.0,2.0,35.0,2.0,17.0,6.0,37.0,19.0,14.0,0.333,0.354,0.687,3.97,3.81,2011.0,18000,内野手,17,41,1970/11/05,176cm,70kg,O型,右右,大阪,False
鳥谷　敬,阪神,0.3,144.0,590.0,500.0,150.0,5.0,51.0,16.0,78.0,4.0,72.0,3.0,10.0,0.395,0.414,0.809,6.41,6.23,2011.0,26000,内野手,8,30,1981/06/26,180cm,80kg,B型,右左,東京都,True
宮出　隆自,ヤクルト,0.3,28.0,45.0,40.0,12.0,0.0,3.0,0.0,5.0,0.0,7.0,0.0,0.0,0.378,0.325,0.703,5.32,5.15,2011.0,1000,外野手,16,34,1977/08/18,192cm,90kg,A型,右右,愛媛,False
坂口　智隆,オリックス,0.297,144.0,651.0,590.0,175.0,3.0,45.0,5.0,54.0,4.0,77.0,2.0,11.0,0.359,0.369,0.729,4.9,4.71,2011.0,10000,外野手,9,27,1984/07/07,180cm,76kg,O型,右左,兵庫,False
中島　裕之,西武,0.297,144.0,633.0,566.0,168.0,16.0,100.0,21.0,44.0,12.0,93.0,0.0,11.0,0.354,0.433,0.787,5.81,5.83,2011.0,28000,内野手,11,29,1982/07/31,180cm,90kg,A型,右右,兵庫,False
平野　恵一,阪神,0.295,142.0,615.0,542.0,160.0,1.0,29.0,6.0,33.0,5.0,67.0,34.0,6.0,0.341,0.343,0.684,4.09,3.94,2011.0,16000,内野手,10,32,1979/04/07,169cm,66kg,B型,右左,神奈川,False
栗原　健太,広島,0.293,144.0,596.0,536.0,157.0,17.0,87.0,0.0,40.0,12.0,84.0,0.0,11.0,0.351,0.442,0.793,5.6,5.54,2011.0,12000,内野手,12,29,1982/01/08,183cm,95kg,O型,右右,山形,False
長谷川　勇也,ソフトバンク,0.293,125.0,455.0,392.0,115.0,4.0,34.0,13.0,47.0,8.0,87.0,6.0,2.0,0.379,0.388,0.766,6.03,5.81,2011.0,4000,外野手,5,27,1984/12/22,178cm,83kg,AB型,右左,山形,False
青木　宣親,ヤクルト,0.292,144.0,643.0,583.0,170.0,4.0,44.0,8.0,51.0,9.0,55.0,0.0,6.0,0.358,0.36,0.718,5.07,4.86,2011.0,33000,外野手,8,29,1982/01/05,175cm,80kg,A型,右左,宮崎,False
阿部　慎之助,巨人,0.292,114.0,437.0,390.0,114.0,20.0,61.0,1.0,35.0,9.0,66.0,2.0,12.0,0.363,0.5,0.863,6.23,6.08,2011.0,40000,捕手,11,32,1979/03/20,180cm,97kg,A型,右左,千葉,False
田中　賢介,日本ハム,0.29,49.0,220.0,200.0,58.0,1.0,10.0,8.0,17.0,0.0,21.0,2.0,1.0,0.344,0.345,0.689,4.66,4.56,2011.0,25000,内野手,12,30,1981/05/20,176cm,78kg,O型,右左,福岡,False
紺田　敏正,巨人,0.289,21.0,40.0,38.0,11.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,0.325,0.316,0.641,3.28,3.22,2011.0,1900,外野手,9,31,1980/08/12,185cm,77kg,A型,右左,富山,False
聖澤　諒,楽天,0.288,144.0,559.0,496.0,143.0,2.0,42.0,52.0,31.0,8.0,109.0,21.0,5.0,0.338,0.343,0.681,4.36,4.28,2011.0,3500,外野手,4,26,1985/11/03,179cm,72kg,B型,右左,長野,False
堂上　剛裕,中日,0.287,64.0,117.0,108.0,31.0,1.0,15.0,0.0,7.0,2.0,20.0,0.0,4.0,0.342,0.426,0.768,4.89,4.53,2011.0,1200,外野手,8,26,1985/05/27,183cm,85kg,O型,右左,愛知,False
松田　宣浩,ソフトバンク,0.282,144.0,582.0,525.0,148.0,25.0,83.0,27.0,41.0,10.0,128.0,3.0,11.0,0.344,0.51,0.854,6.1,5.99,2011.0,4200,内野手,6,28,1983/05/17,179cm,86kg,B型,右右,滋賀,False
ブラゼル,阪神,0.282,120.0,456.0,422.0,119.0,16.0,69.0,0.0,21.0,7.0,71.0,0.0,15.0,0.322,0.445,0.768,4.71,4.74,2011.0,20000,内野手,4,31,1980/05/10,191cm,95kg,不明,右左,アメリカ,True
二岡　智宏,日本ハム,0.282,55.0,117.0,103.0,29.0,3.0,14.0,0.0,13.0,0.0,22.0,1.0,2.0,0.362,0.388,0.75,5.19,5.1,2011.0,7200,内野手,13,35,1976/04/29,180cm,81kg,O型,右右,広島,False
バーデン,広島,0.281,64.0,242.0,210.0,59.0,3.0,20.0,0.0,25.0,5.0,48.0,0.0,2.0,0.368,0.371,0.739,5.3,5.27,2011.0,2000,内野手,0,30,1981/04/02,180cm,90kg,不明,右右,アメリカ,True
マルハーン,西武,0.281,22.0,63.0,57.0,16.0,1.0,8.0,0.0,3.0,2.0,21.0,0.0,1.0,0.333,0.351,0.684,4.25,4.4,2011.0,2000,外野手,1,31,1980/11/29,188cm,98kg,不明,右右,アメリカ,True
小山　桂司,中日,0.28,51.0,102.0,82.0,23.0,1.0,10.0,1.0,16.0,0.0,31.0,3.0,0.0,0.394,0.39,0.784,6.23,6.18,2011.0,1800,捕手,6,31,1980/11/19,175cm,81kg,A型,右右,宮城,False
ラミレス,巨人,0.279,137.0,515.0,477.0,133.0,23.0,73.0,2.0,30.0,3.0,72.0,0.0,9.0,0.322,0.453,0.775,5.15,5.22,2011.0,45000,外野手,11,37,1974/10/03,180cm,86kg,不明,右右,ベネズエラ,True
東出　輝裕,広島,0.278,137.0,601.0,543.0,151.0,0.0,27.0,8.0,35.0,3.0,71.0,18.0,7.0,0.324,0.32,0.645,3.66,3.58,2011.0,10000,内野手,13,31,1980/08/21,171cm,73kg,A型,右左,福井,False
ハーパー,横浜,0.278,103.0,350.0,320.0,89.0,9.0,39.0,0.0,27.0,0.0,87.0,0.0,15.0,0.331,0.416,0.747,4.36,4.32,2011.0,3000,内野手,2,30,1981/07/31,193cm,112kg,不明,右左,アメリカ,True
明石　健志,ソフトバンク,0.278,58.0,105.0,90.0,25.0,1.0,15.0,5.0,10.0,0.0,21.0,4.0,2.0,0.347,0.433,0.78,5.06,5.0,2011.0,1200,内野手,8,25,1986/01/09,174cm,70kg,B型,右左,北海道,False
高須　洋介,楽天,0.277,128.0,472.0,429.0,119.0,1.0,30.0,5.0,29.0,5.0,39.0,8.0,10.0,0.33,0.312,0.642,3.6,3.53,2011.0,6800,内野手,14,35,1976/02/09,170cm,73kg,B型,右右,佐賀,False
陽　岱鋼,日本ハム,0.274,141.0,603.0,537.0,147.0,6.0,36.0,19.0,22.0,5.0,134.0,38.0,5.0,0.308,0.365,0.673,3.98,3.85,2011.0,2100,内野手,6,24,1987/01/17,183cm,83kg,A型,右右,台湾,True
谷　佳知,巨人,0.274,83.0,142.0,135.0,37.0,0.0,7.0,2.0,4.0,0.0,30.0,1.0,3.0,0.291,0.319,0.609,3.02,3.07,2011.0,13000,外野手,15,38,1973/02/09,173cm,77kg,O型,右右,大阪,False
桧山　進次郎,阪神,0.274,69.0,69.0,62.0,17.0,1.0,8.0,0.0,5.0,1.0,17.0,0.0,1.0,0.333,0.355,0.688,4.34,4.34,2011.0,4000,外野手,20,42,1969/07/01,177cm,77kg,B型,右左,京都,False
田口　壮,オリックス,0.273,62.0,239.0,198.0,54.0,0.0,15.0,3.0,15.0,3.0,36.0,23.0,5.0,0.333,0.323,0.657,3.5,3.32,2011.0,8000,外野手,12,42,1969/07/02,177cm,77kg,B型,右右,兵庫,False
實松　一成,巨人,0.273,20.0,24.0,22.0,6.0,2.0,3.0,0.0,0.0,0.0,10.0,2.0,0.0,0.273,0.545,0.818,5.04,5.16,2011.0,1100,捕手,13,30,1981/01/18,177cm,81kg,A型,右右,佐賀,False
松井　雅人,中日,0.273,10.0,13.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.273,0.273,0.545,2.3,2.24,2011.0,780,捕手,2,24,1987/11/19,179cm,78kg,A型,右左,群馬,False
金城　龍彦,横浜,0.272,108.0,354.0,324.0,88.0,3.0,29.0,1.0,16.0,3.0,35.0,6.0,8.0,0.307,0.346,0.653,3.6,3.65,2011.0,5000,外野手,13,35,1976/07/27,177cm,82kg,A型,右両,大阪,False
内村　賢介,楽天,0.271,123.0,390.0,321.0,87.0,1.0,30.0,31.0,23.0,3.0,53.0,42.0,5.0,0.325,0.315,0.639,3.47,3.43,2011.0,2100,内野手,4,25,1986/03/17,163cm,65kg,B型,右両,東京都,True
中村　真人,楽天,0.271,91.0,283.0,247.0,67.0,1.0,24.0,0.0,19.0,4.0,35.0,9.0,7.0,0.328,0.328,0.656,3.6,3.67,2011.0,1760,外野手,5,29,1982/02/02,176cm,71kg,AB型,右左,奈良,False
廣瀬　純,広島,0.271,73.0,276.0,218.0,59.0,2.0,27.0,2.0,29.0,14.0,36.0,9.0,11.0,0.382,0.317,0.699,4.31,4.51,2011.0,5000,外野手,11,32,1979/03/29,181cm,87kg,B型,右右,大分,False
柴田　講平,阪神,0.271,104.0,218.0,188.0,51.0,0.0,9.0,7.0,12.0,0.0,31.0,17.0,2.0,0.313,0.33,0.643,3.58,3.51,2011.0,900,外野手,3,25,1986/07/17,176cm,75kg,A型,左左,福岡,False
サブロー,ロッテ,0.271,19.0,78.0,70.0,19.0,2.0,9.0,0.0,6.0,2.0,13.0,0.0,3.0,0.346,0.414,0.76,4.72,4.59,2011.0,,,,,,,,,,,True
松山　竜平,広島,0.27,68.0,204.0,196.0,53.0,3.0,19.0,0.0,8.0,0.0,20.0,0.0,5.0,0.299,0.357,0.656,3.47,3.39,2011.0,650,外野手,4,26,1985/09/18,176cm,94kg,B型,右左,鹿児島,False
中村　剛也,西武,0.269,144.0,622.0,525.0,141.0,48.0,116.0,4.0,79.0,12.0,134.0,0.0,15.0,0.373,0.6,0.973,7.56,7.61,2011.0,12500,内野手,10,28,1983/08/15,175cm,102kg,O型,右右,大阪,False
新井　貴浩,阪神,0.269,144.0,602.0,550.0,148.0,17.0,93.0,5.0,41.0,4.0,106.0,0.0,20.0,0.321,0.418,0.739,4.45,4.49,2011.0,20000,内野手,13,34,1977/01/30,189cm,95kg,B型,右右,広島,False
畠山　和洋,ヤクルト,0.269,142.0,583.0,494.0,133.0,23.0,85.0,1.0,78.0,6.0,94.0,1.0,10.0,0.373,0.462,0.834,6.27,6.23,2011.0,4100,内野手,11,29,1982/09/13,180cm,96kg,O型,右右,岩手,False
今江　敏晃,ロッテ,0.269,134.0,543.0,499.0,134.0,8.0,51.0,2.0,20.0,8.0,48.0,10.0,13.0,0.304,0.381,0.685,3.83,3.81,2011.0,14700,内野手,10,28,1983/08/26,180cm,88kg,B型,右右,京都,False
小久保　裕紀,ソフトバンク,0.269,98.0,372.0,342.0,92.0,10.0,48.0,0.0,22.0,6.0,72.0,0.0,7.0,0.323,0.418,0.741,4.66,4.6,2011.0,30000,内野手,18,40,1971/10/08,182cm,90kg,AB型,右右,和歌山,False
カスティーヨ,ロッテ,0.269,86.0,356.0,331.0,89.0,5.0,34.0,0.0,18.0,5.0,45.0,0.0,10.0,0.315,0.36,0.674,3.79,3.74,2011.0,1200,内野手,2,30,1981/03/19,186cm,90kg,不明,右右,ベネズエラ,True
浅村　栄斗,西武,0.268,137.0,498.0,437.0,117.0,9.0,45.0,7.0,37.0,3.0,52.0,18.0,8.0,0.327,0.382,0.709,4.35,4.32,2011.0,750,内野手,3,21,1990/11/12,181cm,78kg,O型,右右,大阪,False
川端　慎吾,ヤクルト,0.268,117.0,457.0,399.0,107.0,4.0,46.0,0.0,40.0,0.0,51.0,15.0,5.0,0.333,0.363,0.696,4.36,4.27,2011.0,1800,内野手,6,24,1987/10/16,185cm,82kg,O型,右左,大阪,False
牧田　明久,楽天,0.268,76.0,215.0,194.0,52.0,2.0,21.0,2.0,8.0,5.0,27.0,4.0,8.0,0.308,0.376,0.684,3.5,3.54,2011.0,1300,外野手,11,29,1982/06/03,182cm,78kg,A型,右右,福井,False
小池　正晃,中日,0.268,73.0,150.0,127.0,34.0,5.0,21.0,0.0,12.0,3.0,32.0,8.0,6.0,0.345,0.465,0.81,4.82,4.64,2011.0,2900,外野手,13,31,1980/05/15,183cm,88kg,A型,右右,神奈川,False
川崎　宗則,ソフトバンク,0.267,144.0,655.0,603.0,161.0,1.0,37.0,31.0,36.0,3.0,84.0,9.0,5.0,0.31,0.327,0.636,3.74,3.71,2011.0,24000,内野手,12,30,1981/06/03,180cm,75kg,O型,右左,鹿児島,False
岡田　幸文,ロッテ,0.267,144.0,635.0,577.0,154.0,0.0,35.0,41.0,28.0,9.0,66.0,20.0,5.0,0.311,0.293,0.603,3.43,3.4,2011.0,1000,外野手,3,27,1984/07/06,177cm,70kg,O型,左左,栃木,False
バルディリス,オリックス,0.267,137.0,544.0,479.0,128.0,18.0,66.0,2.0,38.0,19.0,72.0,3.0,12.0,0.342,0.418,0.759,4.87,4.95,2011.0,3500,内野手,4,28,1983/01/05,185cm,90kg,不明,右右,ベネズエラ,True
上田　剛史,ヤクルト,0.267,12.0,34.0,30.0,8.0,0.0,0.0,6.0,3.0,0.0,5.0,1.0,0.0,0.333,0.3,0.633,5.29,5.09,2011.0,750,外野手,5,23,1988/10/02,179cm,73kg,B型,右左,岡山,False
渡辺　直人,横浜,0.266,126.0,469.0,403.0,107.0,1.0,24.0,7.0,36.0,11.0,73.0,19.0,13.0,0.342,0.323,0.665,3.62,3.52,2011.0,5300,内野手,5,31,1980/10/15,173cm,73kg,AB型,右右,茨城,False
角中　勝也,ロッテ,0.266,51.0,171.0,154.0,41.0,0.0,10.0,2.0,9.0,4.0,30.0,1.0,2.0,0.318,0.312,0.629,3.73,3.84,2011.0,700,外野手,5,24,1987/05/25,180cm,80kg,A型,右左,石川,False
井口　資仁,ロッテ,0.265,140.0,597.0,509.0,135.0,9.0,73.0,1.0,72.0,9.0,96.0,0.0,11.0,0.362,0.375,0.737,5.04,5.07,2011.0,18000,内野手,11,37,1974/12/04,178cm,91kg,O型,右右,東京都,True
下園　辰哉,横浜,0.265,85.0,350.0,298.0,79.0,4.0,25.0,2.0,45.0,2.0,54.0,5.0,5.0,0.365,0.346,0.711,4.73,4.66,2011.0,3200,外野手,5,27,1984/11/22,179cm,81kg,B型,左左,宮崎,False
荻野　貴司,ロッテ,0.264,23.0,103.0,91.0,24.0,0.0,10.0,14.0,7.0,1.0,6.0,3.0,1.0,0.32,0.308,0.628,4.42,4.38,2011.0,2500,内野手,2,26,1985/10/21,172cm,75kg,O型,右右,奈良,False
荒木　雅博,中日,0.263,135.0,593.0,543.0,143.0,2.0,24.0,18.0,36.0,3.0,73.0,10.0,4.0,0.312,0.319,0.631,3.58,3.51,2011.0,20000,内野手,16,34,1977/09/13,180cm,74kg,A型,右右,熊本,False
関本　賢太郎,阪神,0.263,100.0,255.0,224.0,59.0,2.0,16.0,0.0,28.0,3.0,55.0,0.0,9.0,0.353,0.321,0.674,3.91,3.84,2011.0,7500,内野手,15,33,1978/08/26,186cm,93kg,O型,右右,奈良,False
加藤　政義,日本ハム,0.263,21.0,39.0,38.0,10.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,1.0,0.282,0.289,0.572,2.5,2.43,2011.0,900,内野手,2,24,1987/04/28,173cm,76kg,B型,右左,宮城,False
坂本　勇人,巨人,0.262,144.0,624.0,568.0,149.0,16.0,59.0,8.0,37.0,6.0,91.0,10.0,3.0,0.313,0.401,0.714,4.63,4.55,2011.0,12000,内野手,5,23,1988/12/14,184cm,75kg,AB型,右右,兵庫,False
稲葉　篤紀,日本ハム,0.262,137.0,518.0,473.0,124.0,12.0,54.0,4.0,27.0,8.0,71.0,7.0,4.0,0.311,0.397,0.709,4.43,4.4,2011.0,20000,外野手,17,39,1972/08/03,185cm,94kg,O型,左左,愛知,False
伊志嶺　翔大,ロッテ,0.261,126.0,492.0,422.0,110.0,2.0,21.0,32.0,30.0,13.0,77.0,27.0,3.0,0.329,0.341,0.67,4.26,4.14,2011.0,1500,外野手,1,23,1988/05/12,179cm,78kg,A型,右右,沖縄,False
スケールズ,日本ハム,0.261,80.0,317.0,287.0,75.0,9.0,30.0,2.0,25.0,4.0,103.0,0.0,3.0,0.328,0.394,0.722,4.75,4.75,2011.0,1500,内野手,1,34,1977/10/04,182cm,86kg,不明,右両,アメリカ,True
ガルシア,楽天,0.261,88.0,316.0,287.0,75.0,8.0,34.0,1.0,22.0,2.0,79.0,0.0,7.0,0.313,0.383,0.697,4.05,4.2,2011.0,3200,内野手,1,33,1978/11/05,193cm,82kg,不明,右右,メキシコ,True
小窪　哲也,広島,0.261,65.0,158.0,142.0,37.0,2.0,12.0,1.0,3.0,4.0,17.0,9.0,0.0,0.295,0.352,0.647,3.61,3.51,2011.0,1800,内野手,4,26,1985/04/12,175cm,78kg,O型,右右,奈良,False
川島　慶三,ヤクルト,0.261,40.0,54.0,46.0,12.0,0.0,3.0,3.0,4.0,2.0,8.0,1.0,0.0,0.34,0.261,0.6,4.16,4.4,2011.0,2650,内野手,6,28,1983/10/05,172cm,70kg,A型,右右,長崎,False
松井　稼頭央,楽天,0.26,139.0,572.0,538.0,140.0,9.0,48.0,15.0,26.0,1.0,94.0,4.0,8.0,0.294,0.381,0.675,3.95,3.87,2011.0,15000,内野手,11,36,1975/10/23,177cm,85kg,O型,右両,大阪,False
Ｔ−岡田,オリックス,0.26,134.0,550.0,492.0,128.0,16.0,85.0,4.0,39.0,15.0,116.0,0.0,10.0,0.331,0.411,0.741,4.84,4.85,2011.0,5800,外野手,6,23,1988/02/09,186cm,93kg,B型,左左,大阪,False
石川　雄洋,横浜,0.26,125.0,530.0,466.0,121.0,0.0,22.0,12.0,30.0,2.0,95.0,32.0,8.0,0.307,0.288,0.595,2.86,2.81,2011.0,6000,内野手,7,25,1986/07/10,183cm,78kg,O型,右左,静岡,False
スレッジ,横浜,0.26,95.0,373.0,339.0,88.0,20.0,57.0,0.0,26.0,4.0,90.0,0.0,5.0,0.316,0.481,0.797,5.29,5.41,2011.0,18000,外野手,4,34,1977/03/18,183cm,86kg,不明,左左,アメリカ,True
赤松　真人,広島,0.26,80.0,217.0,192.0,50.0,1.0,18.0,19.0,4.0,4.0,29.0,15.0,1.0,0.287,0.323,0.61,3.42,3.41,2011.0,3100,外野手,7,29,1982/09/06,182cm,75kg,O型,右右,京都,False
フェルナンデス,西武,0.259,142.0,577.0,529.0,137.0,17.0,81.0,3.0,39.0,2.0,84.0,0.0,19.0,0.308,0.395,0.704,3.87,3.97,2011.0,6000,内野手,9,37,1974/11/02,192cm,100kg,不明,右右,ドミニカ共和国,True
木村　昇吾,広島,0.259,106.0,349.0,293.0,76.0,0.0,17.0,3.0,14.0,4.0,53.0,37.0,6.0,0.301,0.287,0.588,2.61,2.56,2011.0,1400,内野手,9,31,1980/04/16,182cm,77kg,A型,右左,大阪,False
北川　博敏,オリックス,0.258,51.0,172.0,159.0,41.0,1.0,17.0,0.0,8.0,2.0,23.0,1.0,4.0,0.298,0.346,0.644,3.42,3.4,2011.0,6500,内野手,17,39,1972/05/27,180cm,92kg,A型,右右,兵庫,False
谷繁　元信,中日,0.256,102.0,330.0,277.0,71.0,6.0,31.0,0.0,38.0,2.0,51.0,12.0,5.0,0.349,0.357,0.706,4.46,4.4,2011.0,17000,捕手,23,41,1970/12/21,176cm,81kg,A型,右右,広島,False
嶋　重宣,広島,0.256,54.0,141.0,125.0,32.0,2.0,8.0,1.0,14.0,1.0,19.0,0.0,1.0,0.333,0.392,0.725,4.96,4.88,2011.0,5000,外野手,17,35,1976/06/16,181cm,95kg,A型,左左,埼玉,False
森岡　良介,ヤクルト,0.256,52.0,97.0,86.0,22.0,0.0,6.0,0.0,8.0,1.0,20.0,2.0,1.0,0.326,0.279,0.605,3.37,3.34,2011.0,1250,内野手,9,27,1984/07/15,172cm,72kg,A型,右左,大阪,False
井生　崇光,広島,0.256,42.0,95.0,82.0,21.0,1.0,7.0,0.0,5.0,3.0,11.0,5.0,2.0,0.322,0.366,0.688,3.88,3.72,2011.0,700,外野手,13,30,1981/03/12,179cm,80kg,A型,右右,福岡,False
荒波　翔,横浜,0.256,28.0,92.0,86.0,22.0,0.0,1.0,6.0,1.0,0.0,23.0,5.0,0.0,0.264,0.291,0.555,2.79,2.75,2011.0,1200,外野手,1,25,1986/01/25,178cm,78kg,A型,右左,神奈川,False
平田　良介,中日,0.255,113.0,376.0,330.0,84.0,11.0,38.0,1.0,38.0,1.0,72.0,7.0,10.0,0.333,0.436,0.77,4.71,4.64,2011.0,1200,外野手,6,23,1988/03/23,177cm,88kg,B型,右右,大阪,False
伊志嶺　忠,楽天,0.254,33.0,73.0,67.0,17.0,0.0,7.0,1.0,4.0,0.0,19.0,2.0,0.0,0.296,0.328,0.624,3.34,3.18,2011.0,850,捕手,4,26,1985/06/22,178cm,78kg,AB型,右左,沖縄,False
村田　修一,横浜,0.253,144.0,592.0,530.0,134.0,20.0,70.0,0.0,44.0,12.0,103.0,0.0,19.0,0.321,0.423,0.744,4.43,4.48,2011.0,22000,内野手,9,31,1980/12/28,177cm,88kg,AB型,右右,福岡,False
田中　浩康,ヤクルト,0.252,142.0,619.0,511.0,129.0,1.0,40.0,2.0,40.0,3.0,63.0,62.0,9.0,0.309,0.292,0.6,2.87,2.87,2011.0,10000,内野手,7,29,1982/05/24,177cm,77kg,O型,右右,京都,False
福田　秀平,ソフトバンク,0.252,97.0,244.0,218.0,55.0,1.0,22.0,22.0,4.0,5.0,48.0,16.0,1.0,0.281,0.326,0.606,3.53,3.48,2011.0,950,外野手,5,22,1989/02/10,181cm,74kg,AB型,右左,神奈川,False
矢野　謙次,巨人,0.252,53.0,116.0,107.0,27.0,1.0,11.0,2.0,4.0,1.0,20.0,3.0,3.0,0.283,0.346,0.629,3.01,2.96,2011.0,2700,外野手,9,31,1980/09/21,178cm,81kg,O型,右右,東京都,True
上本　博紀,阪神,0.25,67.0,131.0,108.0,27.0,3.0,13.0,8.0,14.0,0.0,27.0,7.0,0.0,0.331,0.398,0.729,4.71,4.82,2011.0,1300,内野手,3,25,1986/07/04,173cm,63kg,O型,右右,広島,False
金　泰均,ロッテ,0.25,31.0,119.0,104.0,26.0,1.0,14.0,0.0,12.0,2.0,23.0,0.0,4.0,0.336,0.327,0.663,3.69,3.74,2011.0,15000,内野手,2,29,1982/05/29,184cm,100kg,不明,右右,韓国,True
