選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
森　友哉,西武,0.339,38.0,145.0,124.0,42.0,2.0,18.0,3.0,21.0,0.0,24.0,0.0,4.0,0.434,0.5,0.934,8.13,7.63,2017.0,4500,捕手,4,22,1995/08/08,170cm,80kg,A型,右左,大阪,False
庄司　隼人,広島,0.333,6.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.333,0.833,5.14,4.93,2017.0,580,内野手,8,26,1991/06/21,175cm,76kg,A型,右左,静岡,False
牧原　大成,ソフトバンク,0.333,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,4.55,4.32,2017.0,1300,内野手,7,25,1992/10/15,173cm,70kg,A型,右左,福岡,False
大谷　翔平,日本ハム,0.332,65.0,231.0,202.0,67.0,8.0,31.0,0.0,24.0,2.0,63.0,0.0,0.0,0.403,0.54,0.942,8.44,8.17,2017.0,27000,投手,5,23,1994/07/05,193cm,97kg,B型,右左,岩手,False
松山　竜平,広島,0.326,120.0,387.0,350.0,114.0,14.0,77.0,0.0,31.0,0.0,45.0,0.0,8.0,0.375,0.534,0.909,7.26,7.08,2017.0,4000,外野手,10,32,1985/09/18,176cm,98kg,B型,右左,鹿児島,False
宮﨑　敏郎,DeNA,0.323,128.0,523.0,480.0,155.0,15.0,62.0,0.0,38.0,4.0,47.0,0.0,23.0,0.377,0.479,0.856,6.08,5.78,2017.0,3000,内野手,5,29,1988/12/12,172cm,85kg,B型,右右,佐賀,False
秋山　翔吾,西武,0.322,143.0,659.0,575.0,185.0,25.0,89.0,16.0,72.0,5.0,97.0,0.0,4.0,0.398,0.536,0.933,8.2,7.96,2017.0,20000,外野手,7,29,1988/04/16,184cm,85kg,A型,右左,神奈川,False
鶴岡　慎也,ソフトバンク,0.321,29.0,32.0,28.0,9.0,3.0,5.0,0.0,3.0,0.0,3.0,1.0,1.0,0.387,0.643,1.03,8.13,8.07,2017.0,7600,捕手,15,36,1981/04/11,175cm,78kg,A型,右右,鹿児島,False
マギー,巨人,0.315,139.0,586.0,523.0,165.0,18.0,77.0,4.0,58.0,1.0,107.0,0.0,20.0,0.382,0.514,0.897,6.79,6.46,2017.0,19000,内野手,2,35,1982/10/12,185cm,100kg,不明,右右,アメリカ,True
大島　洋平,中日,0.313,119.0,521.0,476.0,149.0,3.0,29.0,23.0,37.0,4.0,66.0,1.0,5.0,0.365,0.387,0.752,5.64,5.43,2017.0,15000,外野手,8,32,1985/11/09,176cm,74kg,A型,左左,愛知,False
吉田　正尚,オリックス,0.311,64.0,268.0,228.0,71.0,12.0,38.0,1.0,38.0,1.0,32.0,0.0,9.0,0.41,0.518,0.928,7.41,7.2,2017.0,2100,外野手,2,24,1993/07/15,173cm,87kg,B型,右左,福井,False
柳田　悠岐,ソフトバンク,0.31,130.0,551.0,448.0,139.0,31.0,99.0,14.0,89.0,7.0,123.0,0.0,6.0,0.426,0.589,1.016,9.17,8.99,2017.0,26500,外野手,7,29,1988/10/09,188cm,93kg,AB型,右左,広島,False
安部　友裕,広島,0.31,123.0,455.0,413.0,128.0,4.0,49.0,17.0,27.0,2.0,94.0,12.0,3.0,0.354,0.4,0.754,5.38,5.14,2017.0,2100,内野手,10,28,1989/06/24,181cm,81kg,O型,右左,福岡,False
俊介,阪神,0.309,74.0,202.0,191.0,59.0,4.0,23.0,1.0,9.0,0.0,33.0,2.0,1.0,0.34,0.461,0.801,5.95,5.58,2017.0,2400,外野手,8,30,1987/08/17,178cm,74kg,A型,右右,福岡,False
丸　佳浩,広島,0.308,143.0,651.0,556.0,171.0,23.0,92.0,13.0,83.0,4.0,113.0,2.0,6.0,0.398,0.505,0.903,7.7,7.52,2017.0,14000,外野手,10,28,1989/04/11,177cm,90kg,AB型,右左,千葉,False
雄平,ヤクルト,0.306,71.0,300.0,281.0,86.0,2.0,32.0,2.0,12.0,5.0,42.0,0.0,5.0,0.343,0.402,0.745,4.93,4.7,2017.0,7000,外野手,15,33,1984/06/25,174cm,83kg,A型,左左,神奈川,False
ロペス,DeNA,0.301,142.0,606.0,569.0,171.0,30.0,105.0,0.0,27.0,2.0,80.0,0.0,14.0,0.33,0.533,0.863,6.13,6.05,2017.0,23000,内野手,5,34,1983/11/24,183cm,103kg,不明,右右,ベネズエラ,True
鈴木　誠也,広島,0.3,115.0,512.0,437.0,131.0,26.0,90.0,16.0,62.0,6.0,80.0,0.0,12.0,0.389,0.547,0.936,7.44,7.4,2017.0,6000,外野手,5,23,1994/08/18,181cm,90kg,A型,右右,東京都,True
オコエ　瑠偉,楽天,0.3,41.0,141.0,130.0,39.0,3.0,11.0,5.0,3.0,3.0,38.0,5.0,3.0,0.331,0.5,0.831,5.48,5.07,2017.0,1200,外野手,2,20,1997/07/21,185cm,90kg,O型,右右,東京都,True
山川　穂高,西武,0.298,78.0,293.0,242.0,72.0,23.0,61.0,0.0,46.0,5.0,72.0,0.0,7.0,0.42,0.661,1.081,9.42,9.14,2017.0,1600,内野手,4,26,1991/11/23,176cm,100kg,A型,右右,沖縄,False
内川　聖一,ソフトバンク,0.297,73.0,300.0,266.0,79.0,12.0,50.0,0.0,32.0,0.0,26.0,0.0,9.0,0.37,0.481,0.851,6.13,6.05,2017.0,35000,外野手,17,35,1982/08/04,185cm,90kg,B型,右右,大分,False
西川　遥輝,日本ハム,0.296,138.0,623.0,541.0,160.0,9.0,44.0,39.0,69.0,4.0,103.0,6.0,6.0,0.378,0.416,0.794,6.37,6.17,2017.0,10000,外野手,7,25,1992/04/16,179cm,76kg,A型,右左,和歌山,False
茂木　栄五郎,楽天,0.296,103.0,450.0,398.0,118.0,17.0,47.0,3.0,45.0,2.0,84.0,4.0,4.0,0.37,0.497,0.867,6.77,6.54,2017.0,3200,内野手,2,23,1994/02/14,171cm,75kg,O型,右左,東京都,True
武田　健吾,オリックス,0.295,97.0,219.0,207.0,61.0,2.0,14.0,0.0,5.0,3.0,47.0,4.0,3.0,0.321,0.362,0.683,4.14,3.95,2017.0,700,外野手,5,23,1994/04/18,183cm,82kg,O型,右右,福岡,False
銀次,楽天,0.293,143.0,590.0,529.0,155.0,3.0,60.0,2.0,56.0,2.0,74.0,1.0,11.0,0.362,0.367,0.728,4.99,4.79,2017.0,7600,内野手,12,29,1988/02/24,174cm,78kg,A型,右左,岩手,False
鳥谷　敬,阪神,0.293,143.0,570.0,488.0,143.0,4.0,41.0,8.0,77.0,2.0,62.0,1.0,13.0,0.39,0.377,0.767,5.46,5.29,2017.0,40000,内野手,14,36,1981/06/26,180cm,78kg,B型,右左,東京都,True
新井　貴浩,広島,0.292,100.0,288.0,243.0,71.0,9.0,48.0,2.0,40.0,1.0,56.0,0.0,7.0,0.389,0.461,0.85,6.55,6.54,2017.0,11000,内野手,19,40,1977/01/30,189cm,102kg,B型,右右,広島,False
浅村　栄斗,西武,0.291,143.0,633.0,574.0,167.0,19.0,99.0,5.0,44.0,8.0,96.0,1.0,17.0,0.347,0.453,0.799,5.47,5.39,2017.0,15500,内野手,9,27,1990/11/12,182cm,90kg,O型,右右,大阪,False
坂本　勇人,巨人,0.291,142.0,614.0,539.0,157.0,15.0,61.0,14.0,68.0,3.0,85.0,1.0,16.0,0.372,0.43,0.802,5.69,5.55,2017.0,35000,内野手,11,29,1988/12/14,186cm,83kg,AB型,右右,兵庫,False
田中　広輔,広島,0.29,143.0,679.0,565.0,164.0,8.0,60.0,35.0,89.0,15.0,120.0,6.0,5.0,0.398,0.407,0.805,6.41,6.26,2017.0,7800,内野手,4,28,1989/07/03,171cm,85kg,A型,右左,神奈川,False
坂口　智隆,ヤクルト,0.29,136.0,607.0,535.0,155.0,4.0,38.0,4.0,59.0,5.0,76.0,5.0,6.0,0.364,0.35,0.713,4.95,4.86,2017.0,7000,外野手,15,33,1984/07/07,181cm,82kg,O型,右左,兵庫,False
糸井　嘉男,阪神,0.29,114.0,493.0,427.0,124.0,17.0,62.0,21.0,59.0,5.0,62.0,0.0,12.0,0.381,0.447,0.829,6.23,6.16,2017.0,28000,外野手,14,36,1981/07/31,187cm,88kg,A型,右左,京都,False
マレーロ,オリックス,0.29,82.0,319.0,283.0,82.0,20.0,50.0,1.0,29.0,5.0,84.0,0.0,6.0,0.364,0.562,0.925,7.2,7.11,2017.0,4440,外野手,1,29,1988/07/02,191cm,95kg,不明,右右,アメリカ,True
亀澤　恭平,中日,0.287,98.0,290.0,254.0,73.0,2.0,13.0,6.0,13.0,3.0,30.0,18.0,1.0,0.327,0.331,0.658,3.72,3.72,2017.0,1800,内野手,6,29,1988/10/15,174cm,74kg,B型,右左,岡山,False
中島　宏之,オリックス,0.285,124.0,489.0,431.0,123.0,9.0,49.0,0.0,46.0,7.0,93.0,0.0,11.0,0.36,0.392,0.752,5.14,5.12,2017.0,35000,内野手,15,35,1982/07/31,180cm,90kg,A型,右右,兵庫,False
筒香　嘉智,DeNA,0.284,139.0,601.0,503.0,143.0,28.0,94.0,1.0,93.0,2.0,115.0,0.0,7.0,0.396,0.513,0.909,7.59,7.45,2017.0,30000,外野手,8,26,1991/11/26,185cm,97kg,A型,右左,和歌山,False
上本　博紀,阪神,0.284,125.0,488.0,409.0,116.0,9.0,38.0,16.0,50.0,4.0,71.0,23.0,7.0,0.366,0.403,0.769,5.47,5.34,2017.0,3300,内野手,9,31,1986/07/04,173cm,65kg,O型,右右,広島,False
ペゲーロ,楽天,0.281,120.0,517.0,463.0,130.0,26.0,75.0,3.0,50.0,4.0,139.0,0.0,16.0,0.356,0.49,0.846,5.83,5.75,2017.0,8500,外野手,2,30,1987/02/22,192cm,119kg,不明,左左,ドミニカ共和国,True
大和,阪神,0.28,100.0,252.0,232.0,65.0,1.0,16.0,2.0,18.0,0.0,37.0,1.0,5.0,0.331,0.319,0.65,3.62,3.59,2017.0,5000,内野手,12,30,1987/11/05,177cm,69kg,A型,右両,鹿児島,False
水口　大地,西武,0.28,56.0,51.0,50.0,14.0,0.0,4.0,5.0,1.0,0.0,6.0,0.0,1.0,0.294,0.34,0.634,2.69,2.61,2017.0,550,内野手,5,28,1989/06/28,163cm,60kg,A型,右左,長崎,False
ゲレーロ,中日,0.279,130.0,510.0,469.0,131.0,35.0,86.0,1.0,24.0,15.0,98.0,0.0,13.0,0.333,0.563,0.896,6.38,6.35,2017.0,15000,内野手,1,31,1986/11/20,182cm,99kg,不明,右右,キューバ,True
明石　健志,ソフトバンク,0.279,103.0,339.0,290.0,81.0,1.0,23.0,5.0,30.0,1.0,57.0,15.0,3.0,0.346,0.345,0.691,4.14,4.12,2017.0,5500,内野手,14,31,1986/01/09,175cm,66kg,B型,右左,北海道,False
植田　海,阪神,0.278,13.0,22.0,18.0,5.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,0.0,0.316,0.278,0.594,2.54,2.54,2017.0,500,内野手,3,21,1996/04/19,175cm,70kg,O型,右両,滋賀,False
小谷野　栄一,オリックス,0.277,130.0,506.0,470.0,130.0,6.0,47.0,0.0,28.0,3.0,60.0,3.0,13.0,0.32,0.349,0.669,3.81,3.75,2017.0,7000,内野手,15,37,1980/10/10,177cm,88kg,O型,右右,東京都,True
松井　佑介,中日,0.277,56.0,129.0,119.0,33.0,4.0,18.0,0.0,6.0,3.0,38.0,1.0,2.0,0.328,0.437,0.765,5.04,4.86,2017.0,1170,外野手,8,30,1987/07/10,183cm,83kg,O型,右右,大阪,False
モレル,オリックス,0.276,38.0,110.0,98.0,27.0,1.0,11.0,0.0,12.0,0.0,28.0,0.0,3.0,0.355,0.388,0.742,4.43,4.23,2017.0,5000,内野手,2,30,1987/04/21,185cm,100kg,不明,右右,アメリカ,True
黒羽根　利規,日本ハム,0.276,19.0,30.0,29.0,8.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.276,0.345,0.621,3.35,3.12,2017.0,2000,捕手,12,30,1987/06/02,178cm,88kg,A型,右右,神奈川,False
會澤　翼,広島,0.275,106.0,329.0,287.0,79.0,6.0,35.0,0.0,22.0,7.0,45.0,10.0,12.0,0.339,0.39,0.729,4.23,4.19,2017.0,2800,捕手,11,29,1988/04/13,177cm,91kg,B型,右右,茨城,False
中村　奨吾,ロッテ,0.275,85.0,312.0,280.0,77.0,9.0,32.0,11.0,20.0,6.0,63.0,5.0,5.0,0.336,0.432,0.768,5.15,5.05,2017.0,3200,内野手,3,25,1992/05/28,180cm,79kg,A型,右右,兵庫,False
西川　龍馬,広島,0.275,95.0,220.0,204.0,56.0,5.0,27.0,4.0,10.0,1.0,35.0,3.0,4.0,0.309,0.417,0.725,4.46,4.43,2017.0,930,内野手,2,23,1994/12/10,176cm,70kg,O型,右左,大阪,False
松本　剛,日本ハム,0.274,115.0,448.0,402.0,110.0,5.0,33.0,6.0,21.0,3.0,61.0,21.0,7.0,0.314,0.353,0.667,3.72,3.62,2017.0,650,内野手,6,24,1993/08/11,181cm,78kg,AB型,右右,埼玉,False
ロメロ,オリックス,0.274,103.0,424.0,390.0,107.0,26.0,66.0,2.0,27.0,6.0,98.0,0.0,12.0,0.33,0.508,0.838,5.6,5.61,2017.0,9600,外野手,1,29,1988/10/17,188cm,100kg,不明,右右,アメリカ,True
吉川　尚輝,巨人,0.273,5.0,12.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.273,0.273,0.545,3.03,2.94,2017.0,1500,内野手,1,22,1995/02/08,177cm,79kg,A型,右左,岐阜,False
金子　侑司,西武,0.272,90.0,320.0,283.0,77.0,5.0,34.0,25.0,27.0,1.0,49.0,5.0,5.0,0.333,0.399,0.733,4.78,4.78,2017.0,4800,外野手,5,27,1990/04/24,179cm,75kg,B型,右両,京都,False
菊池　涼介,広島,0.271,138.0,629.0,565.0,153.0,14.0,56.0,8.0,32.0,1.0,107.0,30.0,9.0,0.311,0.405,0.716,4.1,4.01,2017.0,14500,内野手,6,27,1990/03/11,171cm,72kg,A型,右右,東京都,True
ウィーラー,楽天,0.271,142.0,605.0,542.0,147.0,31.0,82.0,7.0,50.0,10.0,98.0,0.0,14.0,0.342,0.493,0.835,5.79,5.76,2017.0,10000,内野手,3,30,1987/01/16,178cm,100kg,不明,右右,アメリカ,True
福田　永将,中日,0.271,95.0,326.0,299.0,81.0,18.0,49.0,0.0,21.0,5.0,70.0,0.0,4.0,0.328,0.515,0.843,5.95,5.89,2017.0,2250,内野手,11,29,1988/07/23,181cm,80kg,O型,右右,神奈川,False
源田　壮亮,西武,0.27,143.0,647.0,575.0,155.0,3.0,57.0,37.0,36.0,6.0,100.0,26.0,5.0,0.317,0.351,0.669,4.08,4.03,2017.0,1200,内野手,1,24,1993/02/16,179cm,73kg,O型,右左,大分,False
中村　晃,ソフトバンク,0.27,143.0,600.0,511.0,138.0,6.0,42.0,3.0,67.0,3.0,57.0,14.0,5.0,0.355,0.35,0.705,4.63,4.65,2017.0,15000,外野手,10,28,1989/11/05,175cm,83kg,O型,左左,埼玉,False
宮﨑　祐樹,オリックス,0.27,52.0,146.0,137.0,37.0,2.0,13.0,0.0,6.0,1.0,32.0,1.0,0.0,0.303,0.394,0.698,4.32,4.25,2017.0,1280,外野手,7,31,1986/11/29,178cm,85kg,A型,右右,佐賀,False
桑原　将志,DeNA,0.269,143.0,664.0,598.0,161.0,13.0,52.0,10.0,45.0,11.0,116.0,10.0,8.0,0.332,0.415,0.747,4.68,4.54,2017.0,4000,外野手,6,24,1993/07/21,174cm,78kg,B型,右右,大阪,False
角中　勝也,ロッテ,0.269,110.0,452.0,383.0,103.0,8.0,44.0,6.0,62.0,4.0,44.0,1.0,6.0,0.375,0.397,0.772,5.76,5.66,2017.0,14100,外野手,11,30,1987/05/25,180cm,85kg,A型,右左,石川,False
阿部　寿樹,中日,0.268,21.0,46.0,41.0,11.0,0.0,2.0,1.0,4.0,0.0,13.0,1.0,0.0,0.333,0.293,0.626,3.99,3.92,2017.0,1000,内野手,2,28,1989/12/03,185cm,80kg,B型,右右,岩手,False
橋本　到,巨人,0.267,78.0,139.0,120.0,32.0,1.0,6.0,3.0,11.0,1.0,30.0,6.0,2.0,0.331,0.367,0.697,4.07,4.01,2017.0,2900,外野手,9,27,1990/04/28,172cm,78kg,O型,右左,宮城,False
今浪　隆博,ヤクルト,0.267,7.0,17.0,15.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.313,0.467,0.779,5.17,4.84,2017.0,3000,内野手,11,33,1984/07/06,172cm,75kg,A型,右左,福岡,False
Ｔ－岡田,オリックス,0.266,143.0,593.0,504.0,134.0,31.0,68.0,2.0,83.0,5.0,141.0,0.0,10.0,0.374,0.488,0.862,6.55,6.53,2017.0,10000,外野手,12,29,1988/02/09,187cm,100kg,B型,左左,大阪,False
加藤　翔平,ロッテ,0.266,98.0,292.0,271.0,72.0,5.0,27.0,7.0,6.0,1.0,44.0,12.0,2.0,0.282,0.402,0.684,3.81,3.78,2017.0,2490,外野手,5,26,1991/03/28,183cm,84kg,AB型,右両,埼玉,False
島内　宏明,楽天,0.265,143.0,577.0,494.0,131.0,14.0,47.0,3.0,64.0,4.0,67.0,12.0,8.0,0.352,0.391,0.743,4.82,4.86,2017.0,3300,外野手,6,27,1990/02/02,180cm,75kg,B型,左左,石川,False
藤井　淳志,中日,0.265,128.0,408.0,374.0,99.0,6.0,42.0,5.0,24.0,2.0,96.0,6.0,6.0,0.311,0.377,0.688,3.86,3.82,2017.0,4000,外野手,12,36,1981/05/20,182cm,81kg,O型,右両,愛知,False
エルドレッド,広島,0.265,116.0,405.0,344.0,91.0,27.0,78.0,0.0,50.0,8.0,111.0,0.0,8.0,0.368,0.532,0.9,6.8,6.9,2017.0,11000,内野手,6,37,1980/07/12,196cm,122kg,不明,右右,アメリカ,True
今宮　健太,ソフトバンク,0.264,141.0,623.0,526.0,139.0,14.0,64.0,15.0,38.0,4.0,93.0,52.0,12.0,0.317,0.422,0.739,4.26,4.2,2017.0,14500,内野手,8,26,1991/07/15,172cm,76kg,O型,右右,大分,False
京田　陽太,中日,0.264,141.0,602.0,564.0,149.0,4.0,36.0,23.0,18.0,9.0,105.0,10.0,5.0,0.297,0.355,0.652,3.58,3.5,2017.0,1200,内野手,1,23,1994/04/20,182cm,80kg,O型,右左,石川,False
松田　宣浩,ソフトバンク,0.264,143.0,577.0,531.0,140.0,24.0,71.0,5.0,43.0,1.0,128.0,0.0,16.0,0.319,0.458,0.777,4.84,4.84,2017.0,40000,内野手,12,34,1983/05/17,180cm,88kg,B型,右右,滋賀,False
荻野　貴司,ロッテ,0.264,103.0,394.0,356.0,94.0,5.0,24.0,26.0,25.0,2.0,44.0,10.0,6.0,0.315,0.374,0.689,4.4,4.27,2017.0,3280,外野手,8,32,1985/10/21,172cm,75kg,O型,右右,奈良,False
陽　岱鋼,巨人,0.264,87.0,381.0,330.0,87.0,9.0,33.0,4.0,41.0,7.0,80.0,2.0,6.0,0.356,0.406,0.762,5.24,5.16,2017.0,16000,外野手,12,30,1987/01/17,183cm,89kg,A型,右右,台湾,True
川島　慶三,ソフトバンク,0.264,81.0,137.0,110.0,29.0,5.0,13.0,2.0,18.0,2.0,24.0,6.0,1.0,0.374,0.464,0.838,5.94,5.94,2017.0,3500,内野手,12,34,1983/10/05,172cm,70kg,A型,右右,長崎,False
福留　孝介,阪神,0.263,127.0,526.0,441.0,116.0,18.0,79.0,1.0,77.0,3.0,92.0,1.0,17.0,0.373,0.444,0.818,5.61,5.63,2017.0,23000,外野手,14,40,1977/04/26,182cm,93kg,B型,右左,鹿児島,False
デスパイネ,ソフトバンク,0.262,136.0,545.0,478.0,125.0,35.0,103.0,3.0,59.0,5.0,119.0,0.0,14.0,0.347,0.513,0.859,6.01,6.09,2017.0,40000,外野手,4,31,1986/06/17,175cm,95kg,不明,右右,キューバ,True
倉本　寿彦,DeNA,0.262,143.0,539.0,507.0,133.0,2.0,50.0,3.0,18.0,4.0,102.0,9.0,10.0,0.292,0.331,0.624,3.2,3.08,2017.0,4300,内野手,3,26,1991/01/07,180cm,82kg,B型,右左,神奈川,False
阿部　慎之助,巨人,0.262,129.0,512.0,455.0,119.0,15.0,76.0,0.0,41.0,8.0,67.0,1.0,13.0,0.329,0.389,0.718,4.35,4.51,2017.0,26000,内野手,17,38,1979/03/20,180cm,97kg,A型,右左,千葉,False
村田　修一,巨人,0.262,118.0,424.0,381.0,100.0,14.0,58.0,0.0,34.0,6.0,63.0,1.0,15.0,0.331,0.423,0.754,4.56,4.55,2017.0,22000,内野手,15,37,1980/12/28,177cm,92kg,AB型,右右,福岡,False
長野　久義,巨人,0.261,134.0,516.0,463.0,121.0,16.0,46.0,6.0,46.0,5.0,98.0,1.0,17.0,0.334,0.421,0.755,4.72,4.66,2017.0,22500,外野手,8,33,1984/12/06,180cm,85kg,O型,右右,佐賀,False
伊藤　隼太,阪神,0.261,73.0,73.0,69.0,18.0,2.0,9.0,0.0,4.0,0.0,16.0,0.0,1.0,0.301,0.377,0.678,3.7,3.7,2017.0,1500,外野手,6,28,1989/05/08,177cm,82kg,O型,右左,愛知,False
鈴木　大地,ロッテ,0.26,143.0,588.0,508.0,132.0,11.0,52.0,6.0,55.0,18.0,85.0,3.0,7.0,0.35,0.398,0.748,5.06,5.04,2017.0,10000,内野手,6,28,1989/08/18,175cm,79kg,O型,右左,静岡,False
上林　誠知,ソフトバンク,0.26,134.0,453.0,415.0,108.0,13.0,51.0,12.0,24.0,2.0,96.0,10.0,3.0,0.302,0.434,0.736,4.28,4.25,2017.0,800,外野手,4,22,1995/08/01,184cm,79kg,O型,右左,埼玉,False
岡島　豪郎,楽天,0.26,111.0,400.0,342.0,89.0,3.0,32.0,3.0,41.0,2.0,65.0,10.0,6.0,0.338,0.354,0.692,4.26,4.32,2017.0,3800,外野手,6,28,1989/09/07,176cm,82kg,B型,右左,群馬,False
糸原　健斗,阪神,0.259,66.0,193.0,162.0,42.0,1.0,24.0,1.0,23.0,3.0,26.0,5.0,1.0,0.362,0.358,0.72,5.05,4.85,2017.0,800,内野手,1,25,1992/11/11,175cm,80kg,O型,右左,島根,False
外崎　修汰,西武,0.258,135.0,489.0,438.0,113.0,10.0,48.0,23.0,33.0,5.0,109.0,10.0,4.0,0.315,0.39,0.706,4.6,4.57,2017.0,1300,内野手,3,25,1992/12/20,177cm,75kg,O型,右右,青森,False
大田　泰示,日本ハム,0.258,118.0,457.0,427.0,110.0,15.0,46.0,5.0,28.0,0.0,88.0,0.0,14.0,0.302,0.417,0.719,4.06,4.06,2017.0,2100,外野手,9,27,1990/06/09,188cm,95kg,O型,右右,広島,False
藤井　亮太,ヤクルト,0.257,97.0,309.0,292.0,75.0,2.0,12.0,5.0,9.0,1.0,56.0,6.0,6.0,0.281,0.288,0.568,2.48,2.53,2017.0,800,捕手,4,29,1988/09/30,176cm,73kg,A型,右左,兵庫,False
バティスタ,広島,0.256,61.0,143.0,125.0,32.0,11.0,26.0,0.0,15.0,1.0,44.0,0.0,3.0,0.336,0.56,0.896,6.33,6.55,2017.0,240,内野手,2,25,1992/01/18,189cm,115kg,不明,右右,ドミニカ共和国,True
バレンティン,ヤクルト,0.254,125.0,519.0,445.0,113.0,32.0,80.0,0.0,70.0,3.0,112.0,0.0,18.0,0.358,0.506,0.864,5.88,5.95,2017.0,33000,外野手,7,33,1984/07/02,185cm,100kg,不明,右右,アンティル,True
栗山　巧,西武,0.252,116.0,374.0,333.0,84.0,9.0,46.0,0.0,27.0,3.0,64.0,4.0,10.0,0.308,0.372,0.68,3.76,3.97,2017.0,19000,外野手,16,34,1983/09/03,177cm,85kg,O型,右左,兵庫,False
田中　賢介,日本ハム,0.252,107.0,349.0,314.0,79.0,2.0,18.0,11.0,35.0,0.0,36.0,0.0,4.0,0.327,0.296,0.623,3.66,3.65,2017.0,20000,内野手,16,36,1981/05/20,176cm,78kg,O型,右左,福岡,False
藤田　一也,楽天,0.252,102.0,315.0,270.0,68.0,3.0,33.0,2.0,16.0,1.0,21.0,25.0,8.0,0.293,0.333,0.626,2.95,2.98,2017.0,11000,内野手,13,35,1982/07/03,175cm,75kg,O型,右左,徳島,False
ロジャース,阪神,0.252,40.0,140.0,123.0,31.0,5.0,23.0,0.0,15.0,0.0,26.0,0.0,6.0,0.329,0.431,0.759,4.43,4.55,2017.0,3300,内野手,1,29,1988/03/13,185cm,117kg,不明,右右,アメリカ,True
炭谷　銀仁朗,西武,0.251,104.0,310.0,267.0,67.0,5.0,30.0,2.0,8.0,8.0,45.0,23.0,6.0,0.289,0.348,0.638,3.12,3.22,2017.0,10000,捕手,12,30,1987/07/19,181cm,93kg,O型,右右,京都,False
