選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
村林　一輝,楽天,0.5,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.667,0.5,1.167,21.22,19.98,2017.0,500,内野手,2,20,1997/10/06,180cm,73kg,O型,右右,大阪,False
斐紹,ソフトバンク,0.5,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,12.3,11.07,2017.0,1060,捕手,7,25,1992/11/16,179cm,93kg,A型,右左,北海道,False
茶谷　健太,ソフトバンク,0.5,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,12.3,11.07,2017.0,500,内野手,2,19,1998/01/16,185cm,81kg,O型,右右,神奈川,False
坂田　遼,西武,0.438,11.0,19.0,16.0,7.0,2.0,4.0,0.0,3.0,0.0,8.0,0.0,0.0,0.526,0.813,1.339,17.51,16.59,2017.0,1500,外野手,9,31,1986/10/02,178cm,90kg,A型,右左,神奈川,False
近藤　健介,日本ハム,0.413,57.0,231.0,167.0,69.0,3.0,29.0,3.0,60.0,2.0,27.0,0.0,3.0,0.567,0.557,1.124,14.7,13.85,2017.0,4300,捕手,6,24,1993/08/09,173cm,87kg,O型,右左,千葉,False
細川　成也,DeNA,0.4,2.0,6.0,5.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.5,1.6,2.1,27.29,26.37,2017.0,500,外野手,1,19,1998/08/04,179cm,86kg,AB型,右右,神奈川,False
白濱　裕太,広島,0.4,3.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.4,0.6,1.0,11.52,9.99,2017.0,700,捕手,14,32,1985/10/31,180cm,92kg,A型,右右,大阪,False
岩本　貴裕,広島,0.375,33.0,50.0,48.0,18.0,1.0,13.0,0.0,1.0,0.0,15.0,1.0,2.0,0.388,0.521,0.909,6.86,6.25,2017.0,1200,外野手,9,31,1986/04/18,182cm,96kg,A型,左左,広島,False
石川　駿,中日,0.353,9.0,17.0,17.0,6.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.353,0.529,0.882,7.38,7.14,2017.0,650,内野手,3,27,1990/05/26,178cm,82kg,A型,右右,滋賀,False
宇佐見　真吾,巨人,0.35,21.0,45.0,40.0,14.0,4.0,8.0,0.0,3.0,2.0,14.0,0.0,0.0,0.422,0.65,1.072,10.66,10.4,2017.0,800,捕手,2,24,1993/06/04,181cm,87kg,O型,右左,千葉,False
