選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
渡辺　直人,楽天,0.5,1.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.75,1.25,16.52,13.91,2020.0,2000,内野手,14,40,1980/10/15,173cm,73kg,AB,右右,茨城,False
田宮　裕涼,日本ハム,0.429,4.0,7.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.429,0.429,0.857,9.62,8.78,2020.0,480,捕手,2,20,2000/06/13,175cm,77kg,A,右左,千葉,False
田中　貴也,楽天,0.4,9.0,18.0,15.0,6.0,1.0,4.0,0.0,1.0,0.0,7.0,2.0,0.0,0.438,0.6,1.038,9.0,8.57,2020.0,600,捕手,6,28,1992/08/27,178cm,85kg,O,右左,京都,False
宮本　秀明,DeNA,0.4,6.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4,0.4,0.8,2.6,2.63,2020.0,760,外野手,3,24,1996/07/24,178cm,86kg,O,右左,熊本,False
長坂　拳弥,阪神,0.4,5.0,5.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.4,1.0,1.4,17.04,16.47,2020.0,750,捕手,4,26,1994/04/28,173cm,76kg,B,右右,群馬,False
吉田　正尚,オリックス,0.35,120.0,492.0,408.0,143.0,14.0,64.0,8.0,72.0,8.0,29.0,0.0,6.0,0.453,0.512,0.966,9.23,8.75,2020.0,20000,外野手,5,27,1993/07/15,173cm,85kg,B,右左,福井,False
柳田　悠岐,ソフトバンク,0.342,119.0,515.0,427.0,146.0,29.0,86.0,7.0,84.0,1.0,103.0,0.0,2.0,0.449,0.623,1.071,10.88,10.41,2020.0,57000,外野手,10,32,1988/10/09,188cm,96kg,AB,右左,広島,False
近藤　健介,日本ハム,0.34,108.0,467.0,371.0,126.0,5.0,60.0,4.0,89.0,2.0,72.0,0.0,6.0,0.465,0.469,0.934,9.2,8.8,2020.0,15000,外野手,9,27,1993/08/09,171cm,85kg,O,右左,千葉,False
武岡　龍世,ヤクルト,0.333,5.0,12.0,9.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.455,0.333,0.788,6.58,6.4,2020.0,480,内野手,1,19,2001/05/28,178cm,77kg,O,右左,徳島,False
小窪　哲也,広島,0.333,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,0.667,-0.3,-0.45,2020.0,2900,内野手,13,35,1985/04/12,175cm,85kg,O,右右,奈良,False
佐野　恵太,DeNA,0.328,106.0,451.0,402.0,132.0,20.0,69.0,0.0,42.0,4.0,58.0,0.0,13.0,0.395,0.532,0.927,7.49,7.25,2020.0,2400,内野手,4,26,1994/11/28,178cm,88kg,A,右左,岡山,False
嶺井　博希,DeNA,0.327,41.0,60.0,55.0,18.0,0.0,8.0,0.0,4.0,1.0,14.0,0.0,1.0,0.383,0.382,0.765,5.73,5.36,2020.0,3100,捕手,7,29,1991/06/04,175cm,85kg,B,右右,沖縄,False
梶谷　隆幸,DeNA,0.323,109.0,482.0,433.0,140.0,19.0,53.0,14.0,45.0,1.0,85.0,1.0,4.0,0.387,0.527,0.913,7.53,7.22,2020.0,7400,外野手,14,32,1988/08/28,180cm,88kg,A,右左,島根,False
青木　宣親,ヤクルト,0.317,107.0,425.0,357.0,113.0,18.0,51.0,2.0,62.0,5.0,51.0,0.0,6.0,0.424,0.557,0.981,8.87,8.46,2020.0,34000,外野手,11,38,1982/01/05,175cm,80kg,A,右左,宮崎,False
大島　洋平,中日,0.316,118.0,525.0,462.0,146.0,1.0,30.0,16.0,47.0,4.0,51.0,9.0,5.0,0.382,0.381,0.763,5.64,5.41,2020.0,25000,外野手,11,35,1985/11/09,176cm,75kg,A,左左,愛知,False
髙濱　祐仁,日本ハム,0.316,10.0,23.0,19.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.381,0.316,0.697,4.73,4.57,2020.0,440,内野手,6,24,1996/08/08,185cm,90kg,B,右右,佐賀,False
真砂　勇介,ソフトバンク,0.314,50.0,41.0,35.0,11.0,1.0,6.0,2.0,4.0,2.0,11.0,0.0,0.0,0.415,0.514,0.929,7.48,7.2,2020.0,620,外野手,8,26,1994/05/04,185cm,88kg,B,右右,京都,False
頓宮　裕真,オリックス,0.313,12.0,35.0,32.0,10.0,2.0,5.0,0.0,3.0,0.0,11.0,0.0,0.0,0.371,0.594,0.965,8.37,7.97,2020.0,1200,捕手,2,24,1996/11/17,182cm,103kg,AB,右右,岡山,False
谷内　亮太,日本ハム,0.313,50.0,18.0,16.0,5.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.333,0.313,0.646,4.35,4.95,2020.0,1050,内野手,8,29,1991/02/03,177cm,81kg,B,右右,石川,False
熊谷　敬宥,阪神,0.313,38.0,17.0,16.0,5.0,0.0,3.0,3.0,1.0,0.0,5.0,0.0,0.0,0.353,0.438,0.79,4.73,4.47,2020.0,900,内野手,3,25,1995/11/10,175cm,68kg,A,右右,宮城,False
神里　和毅,DeNA,0.308,80.0,190.0,169.0,52.0,3.0,17.0,7.0,15.0,3.0,42.0,1.0,3.0,0.37,0.42,0.79,6.0,5.87,2020.0,4800,外野手,3,26,1994/01/17,179cm,81kg,A,右左,沖縄,False
村上　宗隆,ヤクルト,0.307,120.0,515.0,424.0,130.0,28.0,86.0,11.0,87.0,3.0,115.0,0.0,8.0,0.427,0.585,1.012,9.05,8.67,2020.0,4500,内野手,3,20,2000/02/02,188cm,97kg,O,右左,熊本,False
西川　遥輝,日本ハム,0.306,115.0,523.0,422.0,129.0,5.0,39.0,42.0,92.0,2.0,84.0,4.0,5.0,0.43,0.396,0.825,7.48,7.28,2020.0,20000,外野手,10,28,1992/04/16,181cm,79kg,A,右左,和歌山,False
高橋　周平,中日,0.305,108.0,438.0,394.0,120.0,7.0,46.0,1.0,39.0,2.0,70.0,0.0,13.0,0.368,0.426,0.794,5.52,5.28,2020.0,6000,内野手,9,26,1994/01/18,180cm,85kg,O,右左,神奈川,False
西川　龍馬,広島,0.304,76.0,328.0,296.0,90.0,6.0,32.0,6.0,28.0,2.0,52.0,2.0,6.0,0.368,0.426,0.794,5.86,5.57,2020.0,6800,内野手,5,26,1994/12/10,176cm,74kg,O,右左,大阪,False
岸田　行倫,巨人,0.302,34.0,48.0,43.0,13.0,1.0,5.0,0.0,3.0,0.0,16.0,1.0,4.0,0.34,0.442,0.782,3.9,3.92,2020.0,1100,捕手,3,24,1996/10/10,176cm,80kg,A,右右,兵庫,False
宮﨑　敏郎,DeNA,0.301,113.0,460.0,429.0,129.0,14.0,53.0,0.0,24.0,4.0,29.0,0.0,15.0,0.341,0.464,0.805,5.4,5.23,2020.0,16000,内野手,8,32,1988/12/12,172cm,85kg,B,右右,佐賀,False
茂木　栄五郎,楽天,0.301,73.0,321.0,276.0,83.0,7.0,33.0,8.0,39.0,5.0,52.0,0.0,4.0,0.396,0.457,0.852,6.92,6.7,2020.0,8100,内野手,5,26,1994/02/14,171cm,75kg,O,右左,東京都,True
鈴木　誠也,広島,0.3,118.0,514.0,430.0,129.0,25.0,75.0,6.0,72.0,9.0,73.0,0.0,15.0,0.409,0.544,0.953,7.67,7.46,2020.0,28000,外野手,8,26,1994/08/18,181cm,98kg,A,右右,東京都,True
加藤　翔平,ロッテ,0.3,22.0,79.0,70.0,21.0,0.0,3.0,3.0,8.0,1.0,15.0,0.0,0.0,0.38,0.4,0.78,5.91,5.6,2020.0,2400,外野手,8,29,1991/03/28,183cm,84kg,AB,右両,埼玉,False
石川　駿,中日,0.3,11.0,13.0,10.0,3.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.462,0.5,0.962,9.68,9.3,2020.0,600,内野手,6,30,1990/05/26,178cm,82kg,A,右右,滋賀,False
中島　宏之,巨人,0.297,100.0,312.0,279.0,83.0,7.0,29.0,0.0,31.0,1.0,59.0,0.0,11.0,0.369,0.419,0.788,5.12,5.0,2020.0,2000,内野手,18,38,1982/07/31,180cm,90kg,A,右右,兵庫,False
増田　大輝,巨人,0.297,74.0,48.0,37.0,11.0,0.0,2.0,23.0,11.0,0.0,12.0,0.0,1.0,0.458,0.351,0.81,6.56,6.52,2020.0,1500,内野手,5,27,1993/07/29,172cm,68kg,A,右右,徳島,False
鈴木　大地,楽天,0.295,120.0,546.0,478.0,141.0,4.0,55.0,1.0,46.0,7.0,58.0,12.0,18.0,0.363,0.381,0.744,4.65,4.5,2020.0,10000,内野手,9,31,1989/08/18,175cm,79kg,O,右左,静岡,False
小郷　裕哉,楽天,0.295,58.0,129.0,105.0,31.0,4.0,12.0,8.0,19.0,1.0,34.0,3.0,0.0,0.405,0.438,0.843,7.14,7.11,2020.0,730,外野手,2,24,1996/08/03,178cm,85kg,O,右左,岡山,False
Ａ．マルティネス,中日,0.295,39.0,109.0,95.0,28.0,2.0,13.0,0.0,14.0,0.0,31.0,0.0,1.0,0.385,0.421,0.806,6.33,6.08,2020.0,1000,捕手,3,24,1996/05/28,190cm,95kg,不明,右右,キューバ,True
アルモンテ,中日,0.294,62.0,247.0,214.0,63.0,9.0,29.0,1.0,30.0,2.0,42.0,0.0,9.0,0.385,0.463,0.847,6.16,6.03,2020.0,15000,外野手,3,31,1989/06/10,183cm,98kg,不明,右両,ドミニカ共和国,True
糸原　健斗,阪神,0.294,63.0,244.0,218.0,64.0,3.0,20.0,1.0,19.0,3.0,33.0,3.0,3.0,0.357,0.376,0.733,4.93,4.85,2020.0,6000,内野手,4,28,1992/11/11,175cm,81kg,O,右左,島根,False
鶴岡　慎也,日本ハム,0.294,18.0,17.0,17.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.294,0.294,0.588,3.25,3.15,2020.0,6000,捕手,18,39,1981/04/11,176cm,78kg,A,右右,鹿児島,False
近本　光司,阪神,0.293,120.0,519.0,474.0,139.0,9.0,45.0,31.0,30.0,7.0,61.0,7.0,4.0,0.344,0.416,0.759,5.46,5.27,2020.0,4500,外野手,2,26,1994/11/09,171cm,72kg,B,左左,兵庫,False
荻野　貴司,ロッテ,0.291,53.0,236.0,203.0,59.0,1.0,10.0,19.0,24.0,2.0,23.0,6.0,2.0,0.37,0.389,0.759,5.74,5.48,2020.0,7800,外野手,11,35,1985/10/21,172cm,75kg,O,右右,奈良,False
坂本　勇人,巨人,0.289,115.0,479.0,412.0,119.0,19.0,65.0,4.0,62.0,0.0,85.0,1.0,9.0,0.379,0.5,0.879,6.83,6.67,2020.0,50000,内野手,14,32,1988/12/14,186cm,85kg,AB,右右,兵庫,False
安達　了一,オリックス,0.289,78.0,311.0,266.0,77.0,2.0,23.0,15.0,26.0,1.0,48.0,16.0,9.0,0.353,0.361,0.713,4.34,4.25,2020.0,9000,内野手,9,32,1988/01/07,179cm,78kg,O,右右,群馬,False
大山　悠輔,阪神,0.288,116.0,471.0,423.0,122.0,28.0,85.0,1.0,41.0,5.0,96.0,1.0,15.0,0.357,0.56,0.918,6.54,6.39,2020.0,4700,内野手,4,26,1994/12/19,181cm,88kg,O,右右,茨城,False
