選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
田代　将太郎,西武,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2013.0,800,外野手,2,24,1989/12/13,178cm,75kg,A型,左左,北海道,False
浅沼　寿紀,日本ハム,0.5,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.17,10.94,2013.0,480,外野手,6,24,1989/07/21,181cm,77kg,B型,左左,北海道,False
坂口　真規,巨人,0.4,7.0,10.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.4,0.4,0.8,6.89,6.39,2013.0,800,内野手,1,23,1990/09/29,186cm,90kg,A型,右右,和歌山,False
下水流　昂,広島,0.4,2.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,0.8,7.02,6.48,2013.0,840,外野手,1,25,1988/04/23,178cm,85kg,A型,右右,神奈川,False
前田　智徳,広島,0.364,12.0,12.0,11.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.417,0.364,0.78,6.87,6.52,2013.0,5600,外野手,24,42,1971/06/14,176cm,80kg,AB型,右左,熊本,False
新田　玄気,ヤクルト,0.353,14.0,18.0,17.0,6.0,1.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,0.389,0.529,0.918,8.24,7.98,2013.0,900,捕手,5,31,1982/08/22,172cm,80kg,A型,右右,香川,False
ルナ,中日,0.35,85.0,356.0,329.0,115.0,9.0,51.0,4.0,26.0,1.0,57.0,0.0,10.0,0.399,0.52,0.919,7.65,7.10,2013.0,2800,内野手,1,33,1980/02/01,187cm,99kg,不明,右右,ドミニカ共和国,True
梶谷　隆幸,DeNA,0.346,77.0,287.0,254.0,88.0,16.0,44.0,7.0,27.0,2.0,60.0,4.0,6.0,0.413,0.634,1.047,9.06,8.58,2013.0,1000,内野手,7,25,1988/08/28,180cm,78kg,A型,右左,島根,False
長谷川　勇也,ソフトバンク,0.341,144.0,637.0,580.0,198.0,19.0,83.0,12.0,47.0,5.0,111.0,0.0,5.0,0.392,0.51,0.903,7.89,7.57,2013.0,8000,外野手,7,29,1984/12/22,180cm,85kg,AB型,右左,山形,False
ブランコ,DeNA,0.333,134.0,558.0,483.0,161.0,41.0,136.0,1.0,62.0,9.0,118.0,0.0,10.0,0.416,0.634,1.049,9.49,9.23,2013.0,20000,内野手,5,33,1980/11/10,188cm,102kg,A型,右右,ドミニカ共和国,True
三輪　正義,ヤクルト,0.333,75.0,56.0,45.0,15.0,0.0,5.0,6.0,6.0,0.0,6.0,5.0,0.0,0.412,0.333,0.745,6.52,6.23,2013.0,1350,内野手,6,29,1984/01/23,168cm,70kg,A型,右左,山口,False
村田　和哉,日本ハム,0.333,24.0,29.0,24.0,8.0,0.0,0.0,3.0,3.0,0.0,4.0,2.0,0.0,0.407,0.333,0.741,5.66,5.47,2013.0,1000,外野手,6,28,1985/07/23,167cm,65kg,B型,右左,千葉,False
