選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
堤　裕貴,オリックス,0.0,6,5,5,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,-2.83,-2.54,2015
中東　直己,広島,0.0,9,4,3,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,-1.80,-1.62,2015
田中　雅彦,ヤクルト,0.0,6,4,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.75,-2.50,2015
米野　智人,西武,0.0,2,4,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.75,-2.50,2015
辻　東倫,巨人,0.0,2,4,3,0,0,0,0,1,0,0,0,0,0.25,0.0,0.25,0.09,0.63,2015
鵜久森　淳志,日本ハム,0.0,3,3,2,0,0,0,0,1,0,1,0,0,0.333,0.0,0.333,1.39,2.03,2015
坂口　真規,巨人,0.0,1,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2015
美間　優槻,広島,0.0,1,3,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.77,-2.52,2015
猪本　健太郎,ソフトバンク,0.0,2,2,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.81,-2.57,2015
清水　優心,日本ハム,0.0,1,2,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.81,-2.57,2015
高濱　祐仁,日本ハム,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2015
田上　健一,阪神,0.0,9,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2015
北　篤,日本ハム,0.0,2,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.92,-2.70,2015
北條　史也,阪神,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2015
赤堀　大智,DeNA,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.92,-2.70,2015
岡崎　太一,阪神,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2015
赤田　龍一郎,中日,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2015
谷　哲也,中日,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2015
田中　大輔,オリックス,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.92,-2.70,2015
下妻　貴寛,楽天,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
加藤　匠馬,中日,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
中嶋　聡,日本ハム,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
西森　将司,DeNA,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,-8.64,2015
城所　龍磨,ソフトバンク,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,-8.64,2015
白濱　裕太,広島,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
三ツ俣　大樹,中日,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
倉　義和,広島,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
磯村　嘉孝,広島,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
拓也,ソフトバンク,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2015
