選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
荒木　雅博,中日,0.251,97,238,211,53,0,13,9,20,0,31,6,1,0.315,0.299,0.613,3.70,3.65,2015
シアーホルツ,広島,0.25,65,248,232,58,10,30,3,14,2,67,0,0,0.298,0.435,0.734,4.70,4.68,2015
吉川　大幾,巨人,0.25,47,60,56,14,0,4,3,2,0,15,2,1,0.276,0.375,0.651,3.65,3.40,2015
飯山　裕志,日本ハム,0.25,75,29,24,6,0,4,0,1,0,6,4,0,0.28,0.333,0.613,2.41,2.29,2015
寺内　崇幸,巨人,0.25,31,29,24,6,0,3,4,0,1,6,4,0,0.28,0.25,0.53,3.18,3.13,2015
丸　佳浩,広島,0.249,143,633,530,132,19,63,15,94,1,143,4,4,0.361,0.413,0.774,5.56,5.59,2015
井口　資仁,ロッテ,0.247,87,250,227,56,6,28,1,21,2,65,0,4,0.316,0.41,0.726,4.52,4.40,2015
會澤　翼,広島,0.246,93,290,252,62,6,30,0,26,7,49,2,9,0.33,0.369,0.699,3.96,4.06,2015
岡田　幸文,ロッテ,0.245,112,205,188,46,0,13,11,8,2,22,7,0,0.283,0.287,0.57,3.08,3.06,2015
根元　俊一,ロッテ,0.245,62,187,163,40,2,15,2,20,0,41,3,0,0.326,0.362,0.688,4.43,4.47,2015
俊介,阪神,0.245,112,126,102,25,0,2,3,9,2,20,13,2,0.319,0.294,0.613,2.79,2.73,2015
片岡　治大,巨人,0.244,113,411,348,85,10,36,21,25,2,36,36,7,0.299,0.374,0.672,3.45,3.45,2015
福田　永将,中日,0.243,79,185,169,41,6,23,0,14,0,62,0,7,0.297,0.408,0.706,3.69,3.83,2015
谷口　雄也,日本ハム,0.243,48,124,107,26,2,10,5,14,0,25,1,3,0.325,0.346,0.671,3.82,4.00,2015
安部　友裕,広島,0.243,26,74,70,17,0,2,1,1,0,6,3,1,0.254,0.243,0.496,1.46,1.51,2015
阿部　慎之助,巨人,0.242,111,419,343,83,15,47,0,64,8,84,0,9,0.37,0.414,0.784,5.51,5.65,2015
石原　慶幸,広島,0.241,83,238,216,52,2,12,1,14,0,42,8,10,0.287,0.296,0.583,2.33,2.30,2015
野間　峻祥,広島,0.241,127,188,170,41,1,10,8,10,1,37,6,2,0.286,0.371,0.656,3.65,3.61,2015
伊志嶺　忠,楽天,0.241,54,149,133,32,3,14,0,12,1,36,3,2,0.308,0.346,0.654,3.52,3.54,2015
中島　裕之,オリックス,0.24,117,483,417,100,10,46,1,53,12,93,0,10,0.342,0.357,0.699,4.28,4.30,2015
加藤　健,巨人,0.24,35,83,75,18,0,3,0,4,0,24,2,2,0.272,0.28,0.552,2.25,2.48,2015
岡田　雅利,西武,0.24,36,54,50,12,1,5,0,3,0,10,1,1,0.283,0.3,0.583,2.70,2.79,2015
安達　了一,オリックス,0.239,139,593,506,121,11,55,16,48,6,68,29,11,0.31,0.348,0.658,3.28,3.39,2015
梅野　隆太郎,阪神,0.239,56,149,138,33,4,18,0,6,1,33,4,2,0.276,0.406,0.682,3.44,3.40,2015
川端　崇義,オリックス,0.239,56,141,134,32,0,7,1,5,1,17,0,3,0.27,0.299,0.568,2.54,2.58,2015
山下　幸輝,DeNA,0.238,23,43,42,10,0,2,0,0,0,12,1,0,0.238,0.286,0.524,1.77,1.73,2015
後藤　光尊,楽天,0.237,117,444,413,98,9,42,13,12,5,48,10,8,0.265,0.346,0.611,2.80,2.91,2015
梵　英心,広島,0.237,96,332,283,67,6,27,2,36,1,49,10,6,0.323,0.36,0.683,3.89,3.93,2015
嶺井　博希,DeNA,0.237,74,208,186,44,5,26,0,12,5,46,3,2,0.298,0.371,0.669,3.83,3.94,2015
高田　知季,ソフトバンク,0.237,81,175,156,37,1,11,4,12,0,43,7,2,0.292,0.288,0.58,2.74,2.76,2015
村田　修一,巨人,0.236,103,370,330,78,12,39,1,28,8,65,2,12,0.31,0.373,0.683,3.64,3.75,2015
岡　大海,日本ハム,0.236,101,294,259,61,4,26,18,17,7,64,10,8,0.299,0.336,0.635,3.35,3.35,2015
メヒア,西武,0.235,135,525,473,111,27,89,0,45,5,153,0,14,0.307,0.471,0.778,4.69,4.74,2015
中川　大志,楽天,0.235,62,206,187,44,5,21,2,12,4,60,1,6,0.293,0.358,0.651,3.25,3.38,2015
駿太,オリックス,0.234,135,382,334,78,2,31,8,24,6,69,15,4,0.294,0.287,0.582,2.61,2.74,2015
井端　弘和,巨人,0.234,98,321,269,63,1,19,3,37,3,36,10,4,0.331,0.279,0.61,3.32,3.41,2015
三輪　正義,ヤクルト,0.233,87,102,86,20,0,7,4,9,0,23,6,1,0.302,0.291,0.593,2.91,3.04,2015
金城　龍彦,巨人,0.233,36,95,90,21,1,10,1,3,1,11,1,0,0.266,0.3,0.566,2.85,2.85,2015
福田　秀平,ソフトバンク,0.232,84,183,168,39,1,14,10,12,0,35,3,1,0.283,0.339,0.623,3.31,3.23,2015
枡田　慎太郎,楽天,0.232,28,94,82,19,2,7,3,12,0,24,0,3,0.33,0.354,0.683,3.85,3.90,2015
レアード,日本ハム,0.231,143,554,498,115,34,97,1,43,9,129,0,18,0.301,0.488,0.789,4.67,4.84,2015
中村　悠平,ヤクルト,0.231,136,502,442,102,2,33,3,40,4,80,14,9,0.299,0.276,0.575,2.70,2.76,2015
中村　奨吾,ロッテ,0.23,111,299,269,62,5,21,4,15,4,69,9,4,0.279,0.331,0.61,2.85,3.00,2015
比屋根　渉,ヤクルト,0.23,84,240,209,48,3,9,6,17,4,38,10,2,0.3,0.301,0.601,3.14,3.18,2015
グスマン,広島,0.23,34,116,100,23,3,12,0,15,1,25,0,2,0.336,0.42,0.756,4.94,4.85,2015
鶴岡　一成,阪神,0.229,70,179,153,35,1,15,0,15,0,43,10,2,0.296,0.301,0.597,2.93,2.94,2015
桂　依央利,中日,0.229,47,113,105,24,2,7,1,3,0,33,5,2,0.25,0.314,0.564,2.31,2.38,2015
今宮　健太,ソフトバンク,0.228,142,530,457,104,7,45,3,34,0,83,35,13,0.279,0.326,0.605,2.63,2.71,2015
本多　雄一,ソフトバンク,0.228,61,174,158,36,0,4,5,9,1,36,6,2,0.274,0.278,0.552,2.24,2.22,2015
加藤　翔平,ロッテ,0.228,21,63,57,13,0,2,2,3,0,11,3,0,0.267,0.246,0.512,2.38,2.40,2015
エルドレッド,広島,0.227,79,300,264,60,19,54,1,31,1,91,0,3,0.307,0.466,0.773,4.85,5.18,2015
吉田　裕太,ロッテ,0.227,65,131,110,25,1,9,1,9,1,26,9,2,0.287,0.264,0.551,2.45,2.68,2015
サンチェス,楽天,0.226,66,232,199,45,7,18,3,27,4,40,0,4,0.328,0.392,0.72,4.42,4.54,2015
小林　誠司,巨人,0.226,70,204,177,40,2,13,2,19,3,39,5,6,0.312,0.294,0.605,2.96,2.97,2015
縞田　拓弥,オリックス,0.226,80,152,133,30,2,16,3,12,0,30,6,1,0.288,0.361,0.649,3.66,3.64,2015
乙坂　智,DeNA,0.226,52,138,124,28,3,10,2,9,0,25,4,0,0.276,0.339,0.615,2.99,3.19,2015
市川　友也,日本ハム,0.226,43,120,106,24,2,12,0,6,1,30,6,0,0.272,0.34,0.612,3.14,3.24,2015
大引　啓次,ヤクルト,0.225,96,347,311,70,5,41,6,27,1,56,6,5,0.287,0.338,0.625,3.19,3.24,2015
大和,阪神,0.225,123,293,249,56,0,12,5,12,4,35,28,2,0.272,0.245,0.517,1.83,1.85,2015
白崎　浩之,DeNA,0.225,81,238,204,46,6,9,2,11,1,45,22,1,0.269,0.368,0.636,2.92,2.96,2015
金子　侑司,西武,0.224,57,176,156,35,1,6,11,10,0,43,10,0,0.271,0.308,0.579,2.54,2.59,2015
飛雄馬,DeNA,0.224,59,135,116,26,1,9,1,3,1,23,15,2,0.25,0.345,0.595,2.53,2.42,2015
長谷川　勇也,ソフトバンク,0.224,30,96,85,19,5,12,0,11,0,27,0,0,0.313,0.4,0.713,4.61,4.78,2015
大松　尚逸,ロッテ,0.224,18,53,49,11,0,5,0,3,0,12,0,2,0.264,0.286,0.55,2.02,2.17,2015
デニング,ヤクルト,0.222,64,227,194,43,4,22,0,23,8,43,0,2,0.326,0.345,0.671,4.07,4.17,2015
関根　大気,DeNA,0.222,55,159,144,32,1,10,8,8,0,22,6,1,0.261,0.326,0.588,2.81,2.91,2015
赤松　真人,広島,0.222,52,9,9,2,0,0,6,0,0,2,0,0,0.222,0.333,0.556,1.33,1.86,2015
西田　哲朗,楽天,0.22,62,183,168,37,1,8,2,11,0,44,4,4,0.268,0.28,0.548,1.92,1.95,2015
嶋　基宏,楽天,0.219,117,411,338,74,4,18,6,60,1,69,11,11,0.338,0.287,0.624,3.30,3.37,2015
橋本　到,巨人,0.219,68,151,137,30,1,10,4,9,1,35,3,1,0.27,0.336,0.606,3.10,3.08,2015
大崎　雄太朗,西武,0.219,47,85,73,16,1,9,0,5,2,16,2,0,0.277,0.301,0.578,3.00,3.41,2015
飯原　誉士,ヤクルト,0.219,18,34,32,7,0,3,0,1,0,9,0,1,0.235,0.25,0.485,1.40,1.74,2015
吉村　裕基,ソフトバンク,0.217,73,151,129,28,3,15,0,16,5,36,0,1,0.325,0.357,0.681,4.27,4.35,2015
サブロー,ロッテ,0.217,36,52,46,10,1,4,0,6,0,14,0,1,0.308,0.304,0.612,3.15,3.27,2015
福田　将儀,楽天,0.216,67,210,185,40,1,12,5,13,3,45,8,2,0.277,0.27,0.547,1.98,2.11,2015
北川　倫太郎,楽天,0.215,31,86,79,17,0,4,3,6,0,19,0,2,0.267,0.253,0.521,2.01,2.18,2015
江越　大賀,阪神,0.214,56,176,168,36,5,16,2,6,2,64,0,0,0.25,0.387,0.637,3.40,3.43,2015
天谷　宗一郎,広島,0.214,30,34,28,6,0,2,3,6,0,7,0,1,0.353,0.214,0.567,1.62,1.89,2015
石川　亮,日本ハム,0.214,27,31,28,6,0,3,0,1,0,9,0,0,0.226,0.286,0.512,2.11,2.78,2015
岡本　和真,巨人,0.214,17,31,28,6,1,4,2,2,1,4,0,3,0.29,0.321,0.612,2.22,2.38,2015
佐藤　賢治,日本ハム,0.214,16,29,28,6,0,5,0,1,0,14,0,0,0.241,0.25,0.491,1.77,1.80,2015
炭谷　銀仁朗,西武,0.211,133,443,399,84,4,35,0,16,4,87,22,7,0.247,0.281,0.528,1.96,2.03,2015
ハーミッダ,日本ハム,0.211,50,192,166,35,1,18,1,24,2,60,0,1,0.318,0.289,0.607,3.37,3.41,2015
ミレッジ,ヤクルト,0.211,24,81,76,16,1,9,0,5,0,16,0,1,0.259,0.303,0.562,2.07,2.18,2015
柳田　殖生,DeNA,0.209,24,49,43,9,0,5,0,1,2,11,3,2,0.261,0.256,0.517,1.53,1.52,2015
中井　大介,巨人,0.209,29,47,43,9,0,2,0,2,1,9,1,0,0.261,0.233,0.493,1.97,2.04,2015
倉本　寿彦,DeNA,0.208,102,265,245,51,2,20,0,10,2,60,7,8,0.244,0.249,0.493,1.43,1.55,2015
高橋　周平,中日,0.208,51,172,154,32,4,18,2,16,1,42,1,5,0.287,0.338,0.624,2.91,3.00,2015
石川　慎吾,日本ハム,0.207,43,99,87,18,2,11,1,9,1,11,2,2,0.289,0.345,0.633,3.08,3.14,2015
三好　匠,楽天,0.207,9,33,29,6,0,3,0,1,1,9,2,1,0.258,0.31,0.568,2.10,2.09,2015
後藤　武敏　Ｇ．,DeNA,0.206,70,76,68,14,4,11,0,8,0,17,0,2,0.289,0.441,0.731,4.05,4.11,2015
江川　智晃,ソフトバンク,0.206,25,37,34,7,1,4,0,2,0,11,0,1,0.243,0.382,0.626,2.75,3.04,2015
山崎　勝己,オリックス,0.204,79,188,147,30,0,14,1,13,8,31,19,2,0.302,0.238,0.54,2.35,2.45,2015
島内　宏明,楽天,0.203,25,81,74,15,0,6,5,4,0,6,2,0,0.241,0.311,0.551,2.68,2.82,2015
高城　俊人,DeNA,0.202,64,148,129,26,1,9,0,8,4,32,7,6,0.27,0.279,0.549,1.87,1.88,2015
大谷　翔平,日本ハム,0.202,70,119,109,22,5,17,1,8,0,43,0,1,0.252,0.376,0.628,3.16,3.48,2015
田中　浩康,ヤクルト,0.201,82,151,134,27,1,11,3,11,2,18,4,4,0.272,0.261,0.533,2.15,2.23,2015
荒木　郁也,阪神,0.2,29,41,35,7,0,0,4,3,1,7,2,1,0.282,0.2,0.482,2.26,2.36,2015
中村　一生,オリックス,0.2,67,38,35,7,0,5,2,0,0,8,3,0,0.2,0.286,0.486,-0.05,0.10,2015
森山　周,楽天,0.2,47,21,15,3,0,0,9,2,0,4,4,2,0.294,0.267,0.561,1.51,1.76,2015
下水流　昂,広島,0.2,5,10,10,2,0,0,0,0,0,3,0,0,0.2,0.2,0.4,0.74,0.88,2015
矢野　謙次,日本ハム,0.197,40,84,76,15,1,5,0,4,4,10,0,3,0.274,0.289,0.563,2.21,2.26,2015
武内　晋一,ヤクルト,0.197,51,71,66,13,0,3,0,4,0,15,1,1,0.243,0.227,0.47,1.44,1.51,2015
鬼崎　裕司,西武,0.196,59,124,107,21,0,6,1,10,0,23,6,1,0.263,0.243,0.506,2.03,2.15,2015
阿部　俊人,楽天,0.196,66,110,102,20,0,5,6,2,1,21,5,1,0.219,0.235,0.454,1.09,1.20,2015
鶴岡　慎也,ソフトバンク,0.195,56,142,128,25,1,9,1,7,0,17,5,2,0.234,0.258,0.491,1.69,1.93,2015
木村　文紀,西武,0.195,49,92,82,16,5,12,1,4,2,28,4,0,0.25,0.451,0.701,3.86,3.99,2015
ブランコ,オリックス,0.194,52,189,165,32,9,24,0,21,1,53,0,2,0.286,0.364,0.649,3.51,3.88,2015
大野　奨太,日本ハム,0.194,74,180,155,30,0,10,1,16,1,29,8,6,0.273,0.245,0.518,1.79,1.81,2015
松井　佑介,中日,0.194,30,32,31,6,0,0,0,0,0,6,1,0,0.194,0.194,0.387,0.65,0.77,2015
新井　良太,阪神,0.193,93,162,150,29,4,19,0,10,1,41,0,3,0.247,0.327,0.574,2.39,2.55,2015
フェルナンド,楽天,0.192,39,84,78,15,1,7,0,6,0,25,0,4,0.25,0.256,0.506,1.32,1.44,2015
柴田　講平,阪神,0.19,20,49,42,8,0,2,0,3,1,15,3,0,0.261,0.214,0.475,1.74,1.84,2015
森岡　良介,ヤクルト,0.188,75,125,112,21,1,9,1,8,1,22,3,6,0.246,0.25,0.496,1.19,1.39,2015
外崎　修汰,西武,0.186,43,110,97,18,1,4,9,6,1,30,6,1,0.24,0.247,0.488,2.01,2.11,2015
バレンティン,ヤクルト,0.186,15,52,43,8,1,6,0,9,0,14,0,1,0.327,0.302,0.629,3.47,3.61,2015
谷　佳知,オリックス,0.185,11,32,27,5,0,3,0,4,1,2,0,0,0.313,0.222,0.535,2.84,2.97,2015
桑原　将志,DeNA,0.184,60,116,103,19,1,5,1,5,0,26,8,1,0.222,0.272,0.494,1.53,1.61,2015
杉山　翔大,中日,0.183,64,161,153,28,3,17,1,3,2,33,3,3,0.209,0.261,0.47,1.18,1.32,2015
セラテリ,西武,0.183,33,74,60,11,0,6,1,12,1,21,1,1,0.329,0.233,0.562,3.00,3.15,2015
實松　一成,巨人,0.182,22,39,33,6,1,3,1,2,2,9,2,0,0.27,0.273,0.543,2.62,2.85,2015
永江　恭平,西武,0.182,54,30,22,4,0,4,0,1,2,13,5,0,0.28,0.273,0.553,2.32,2.39,2015
松本　剛,日本ハム,0.182,11,14,11,2,0,0,0,1,0,5,2,0,0.25,0.273,0.523,1.99,1.94,2015
井上　晴哉,ロッテ,0.182,5,12,11,2,0,0,0,1,0,1,0,1,0.25,0.182,0.432,0.28,0.41,2015
中谷　将大,阪神,0.182,11,11,11,2,0,0,0,0,0,3,0,0,0.182,0.182,0.364,0.34,0.51,2015
内村　賢介,DeNA,0.179,28,46,39,7,0,1,2,2,0,9,5,0,0.22,0.179,0.399,0.90,1.04,2015
黒羽根　利規,DeNA,0.178,63,149,129,23,1,7,0,11,0,32,7,2,0.239,0.225,0.464,1.32,1.60,2015
藤井　亮太,ヤクルト,0.176,13,38,34,6,0,2,0,2,0,13,2,1,0.222,0.206,0.428,0.45,0.57,2015
高谷　裕亮,ソフトバンク,0.175,93,192,171,30,1,16,0,13,0,31,8,2,0.234,0.24,0.473,1.41,1.52,2015
坂　克彦,阪神,0.175,87,46,40,7,0,2,1,3,1,13,2,0,0.25,0.225,0.475,1.85,2.00,2015
藤井　彰人,阪神,0.172,71,159,134,23,0,3,0,21,0,20,4,4,0.284,0.194,0.478,1.62,1.78,2015
田村　龍弘,ロッテ,0.17,117,365,305,52,2,32,3,33,1,69,22,3,0.251,0.23,0.48,1.66,1.90,2015
原　拓也,オリックス,0.17,92,148,135,23,2,8,1,10,1,34,2,1,0.233,0.23,0.463,1.47,1.67,2015
