選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
金澤　岳,ロッテ,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2009.0,740,捕手,7,25,1984/05/05,180cm,82kg,O型,右左,栃木,False
小田　智之,日本ハム,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2009.0,2000,内野手,12,30,1979/05/19,178cm,76kg,B型,右左,静岡,False
城石　憲之,ヤクルト,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,∞,∞,2009.0,3500,内野手,15,36,1973/04/17,183cm,82kg,B型,右右,埼玉,False
上村　和裕,広島,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,∞,∞,2009.0,680,捕手,9,26,1983/02/20,178cm,82kg,O型,右右,北海道,False
円谷　英俊,巨人,0.5,1.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,38.40,36.45,2009.0,870,内野手,3,25,1984/09/17,181cm,75kg,B型,右左,神奈川,False
横山　徹也,オリックス,0.421,10.0,19.0,19.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.421,0.526,0.947,7.79,6.84,2009.0,550,捕手,7,25,1984/06/26,176cm,83kg,A型,右右,京都,False
鞘師　智也,広島,0.4,2.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.8,1.2,12.62,10.44,2009.0,600,外野手,7,29,1980/05/06,184cm,85kg,B型,右右,大阪,False
吉本　亮,ヤクルト,0.36,32.0,33.0,25.0,9.0,1.0,6.0,0.0,2.0,0.0,2.0,6.0,0.0,0.407,0.56,0.967,7.02,6.55,2009.0,590,内野手,11,29,1980/05/08,180cm,86kg,O型,右右,大阪,False
岡崎　太一,阪神,0.357,14.0,16.0,14.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.438,0.357,0.795,5.63,5.10,2009.0,1050,捕手,5,26,1983/06/20,180cm,85kg,O型,右右,奈良,False
鬼崎　裕司,ヤクルト,0.356,15.0,50.0,45.0,16.0,2.0,8.0,0.0,4.0,0.0,3.0,1.0,0.0,0.408,0.533,0.941,8.63,8.02,2009.0,1100,内野手,2,26,1983/04/07,177cm,77kg,B型,右左,佐賀,False
飯山　裕志,日本ハム,0.333,76.0,41.0,36.0,12.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,1.0,0.351,0.333,0.685,4.23,3.99,2009.0,2000,内野手,12,30,1979/07/13,178cm,76kg,B型,右右,鹿児島,False
中嶋　聡,日本ハム,0.333,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333,0.333,0.667,0.00,0.20,2009.0,3300,捕手,23,40,1969/03/27,182cm,82kg,A型,右右,秋田,False
小川　将俊,中日,0.333,5.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.333,0.667,4.43,4.19,2009.0,950,捕手,6,30,1979/01/18,187cm,85kg,B型,右右,埼玉,False
谷　佳知,巨人,0.331,101.0,316.0,287.0,95.0,11.0,48.0,3.0,22.0,3.0,44.0,3.0,4.0,0.383,0.533,0.916,7.60,7.18,2009.0,22000,外野手,13,36,1973/02/09,173cm,77kg,O型,右右,大阪,False
鉄平,楽天,0.327,132.0,565.0,496.0,162.0,12.0,76.0,13.0,47.0,9.0,76.0,8.0,4.0,0.391,0.504,0.895,7.48,7.18,2009.0,5200,外野手,9,27,1982/12/27,178cm,78kg,AB型,右左,大分,False
藤井　彰人,楽天,0.324,35.0,76.0,71.0,23.0,1.0,9.0,0.0,2.0,0.0,9.0,3.0,2.0,0.342,0.38,0.723,4.45,4.24,2009.0,4400,捕手,11,33,1976/06/18,170cm,78kg,AB型,右右,大阪,False
ラミレス,巨人,0.322,144.0,608.0,577.0,186.0,31.0,103.0,4.0,21.0,4.0,88.0,0.0,12.0,0.347,0.544,0.891,6.71,6.53,2009.0,50000,外野手,9,35,1974/10/03,180cm,86kg,不明,右右,ベネズエラ,True
吉川　元浩,ソフトバンク,0.32,19.0,34.0,25.0,8.0,1.0,1.0,0.0,4.0,0.0,9.0,5.0,0.0,0.414,0.52,0.934,5.45,5.29,2009.0,600,内野手,12,30,1979/07/29,185cm,85kg,A型,右右,群馬,False
内川　聖一,横浜,0.318,132.0,552.0,503.0,160.0,17.0,66.0,1.0,42.0,1.0,56.0,2.0,16.0,0.369,0.491,0.86,6.16,5.92,2009.0,8500,内野手,9,27,1982/08/04,184cm,86kg,B型,右右,大分,False
立浪　和義,中日,0.318,77.0,80.0,66.0,21.0,1.0,17.0,0.0,12.0,1.0,7.0,0.0,1.0,0.425,0.439,0.864,7.59,7.33,2009.0,8000,内野手,22,40,1969/08/19,173cm,70kg,A型,右左,大阪,False
坂口　智隆,オリックス,0.317,137.0,594.0,526.0,167.0,5.0,50.0,16.0,52.0,4.0,81.0,8.0,8.0,0.381,0.416,0.797,6.12,5.89,2009.0,3800,外野手,7,25,1984/07/07,180cm,76kg,O型,右左,兵庫,False
サブロー,ロッテ,0.314,119.0,489.0,427.0,134.0,22.0,68.0,4.0,48.0,1.0,121.0,4.0,7.0,0.377,0.534,0.911,6.97,6.97,2009.0,10000,外野手,15,33,1976/06/01,181cm,85kg,B型,右右,岡山,False
カブレラ,オリックス,0.314,65.0,275.0,239.0,75.0,13.0,39.0,0.0,33.0,2.0,53.0,0.0,10.0,0.4,0.519,0.919,7.16,6.99,2009.0,30000,内野手,9,38,1971/12/24,185cm,100kg,不明,右右,ベネズエラ,True
浅井　良,阪神,0.313,50.0,107.0,96.0,30.0,4.0,13.0,3.0,3.0,1.0,28.0,7.0,2.0,0.34,0.5,0.84,5.59,5.41,2009.0,2500,外野手,8,30,1979/07/19,176cm,78kg,O型,右右,神奈川,False
中村　一生,中日,0.313,10.0,18.0,16.0,5.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.333,0.5,0.833,6.35,7.02,2009.0,800,外野手,5,27,1982/04/02,186cm,85kg,AB型,右右,東京都,True
長谷川　勇也,ソフトバンク,0.312,143.0,584.0,509.0,159.0,7.0,44.0,10.0,57.0,6.0,89.0,11.0,7.0,0.387,0.426,0.814,6.23,5.92,2009.0,1850,外野手,3,25,1984/12/22,178cm,82kg,AB型,右左,山形,False
中島　裕之,西武,0.309,144.0,648.0,560.0,173.0,22.0,92.0,20.0,75.0,10.0,113.0,0.0,17.0,0.398,0.493,0.891,6.84,6.64,2009.0,20000,内野手,9,27,1982/07/31,180cm,83kg,A型,右右,兵庫,False
小笠原　道大,巨人,0.309,139.0,580.0,514.0,159.0,31.0,107.0,2.0,60.0,4.0,107.0,0.0,8.0,0.384,0.543,0.927,7.67,7.47,2009.0,38000,内野手,13,36,1973/10/25,178cm,83kg,A型,右左,千葉,False
高橋　信二,日本ハム,0.309,134.0,558.0,508.0,157.0,8.0,75.0,7.0,35.0,5.0,78.0,7.0,16.0,0.358,0.404,0.761,5.07,4.90,2009.0,7200,捕手,13,31,1978/08/07,182cm,85kg,A型,右右,岡山,False
ローズ,オリックス,0.308,84.0,346.0,295.0,91.0,22.0,62.0,0.0,44.0,4.0,74.0,0.0,5.0,0.402,0.583,0.985,8.44,8.26,2009.0,32000,外野手,13,41,1968/08/21,182cm,100kg,不明,左左,アメリカ,True
矢野　輝弘,阪神,0.307,30.0,83.0,75.0,23.0,2.0,8.0,1.0,8.0,0.0,17.0,0.0,1.0,0.373,0.427,0.8,6.21,5.99,2009.0,20000,捕手,19,41,1968/12/06,181cm,81kg,O型,右右,大阪,False
井端　弘和,中日,0.306,144.0,657.0,569.0,174.0,5.0,39.0,13.0,72.0,6.0,66.0,8.0,13.0,0.388,0.381,0.77,5.58,5.39,2009.0,25000,内野手,12,34,1975/05/12,173cm,75kg,B型,右右,神奈川,False
坂本　勇人,巨人,0.306,141.0,640.0,581.0,178.0,18.0,62.0,5.0,44.0,4.0,101.0,7.0,8.0,0.357,0.466,0.823,6.08,5.88,2009.0,3400,内野手,3,21,1988/12/14,184cm,78kg,AB型,右右,兵庫,False
糸井　嘉男,日本ハム,0.306,131.0,496.0,425.0,130.0,15.0,58.0,24.0,46.0,6.0,93.0,18.0,6.0,0.381,0.52,0.901,7.08,6.66,2009.0,1800,外野手,6,28,1981/07/31,187cm,88kg,A型,右左,京都,False
憲史,楽天,0.306,77.0,139.0,121.0,37.0,3.0,21.0,0.0,15.0,1.0,18.0,0.0,4.0,0.381,0.446,0.828,6.11,6.02,2009.0,2200,外野手,15,33,1976/06/28,176cm,90kg,O型,右左,福岡,False
