選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
荒木　雅博,中日,0.294,136,625,579,170,3,39,20,38,2,73,5,8,0.339,0.377,0.715,4.70,4.49,2010
石川　雄洋,横浜,0.294,131,584,521,153,0,18,36,21,3,91,38,6,0.324,0.361,0.685,4.06,3.87,2010
相川　亮二,ヤクルト,0.293,120,474,427,125,11,65,2,30,4,70,6,8,0.34,0.419,0.759,5.14,5.13,2010
石井　義人,西武,0.293,98,261,222,65,6,22,0,31,1,35,2,5,0.375,0.41,0.784,5.71,5.77,2010
高山　久,西武,0.291,116,423,382,111,11,48,4,25,8,100,5,3,0.344,0.448,0.792,5.67,5.54,2010
牧田　明久,楽天,0.291,81,190,182,53,6,16,2,4,2,26,1,3,0.312,0.505,0.818,5.67,5.43,2010
松井　佑介,中日,0.291,35,56,55,16,0,3,0,1,0,15,0,1,0.304,0.327,0.631,3.41,3.23,2010
聖澤　諒,楽天,0.29,135,577,517,150,6,43,24,32,3,96,24,4,0.335,0.389,0.723,4.80,4.61,2010
清田　育宏,ロッテ,0.29,64,223,186,54,2,18,5,19,6,51,11,3,0.373,0.382,0.754,5.24,5.07,2010
林　威助,阪神,0.289,69,144,135,39,4,22,1,6,1,24,0,2,0.319,0.467,0.786,5.41,5.30,2010
長野　久義,巨人,0.288,128,459,430,124,19,52,12,25,2,72,2,10,0.33,0.491,0.821,5.63,5.43,2010
稲葉　篤紀,日本ハム,0.287,137,591,530,152,16,79,3,43,12,86,1,5,0.351,0.46,0.811,6.09,5.94,2010
松本　哲也,巨人,0.287,94,350,317,91,0,22,17,17,4,56,12,4,0.331,0.341,0.672,4.21,4.01,2010
下園　辰哉,横浜,0.286,131,461,402,115,3,28,1,49,2,82,6,8,0.365,0.376,0.74,5.06,4.89,2010
稲田　直人,横浜,0.286,22,24,21,6,0,1,0,2,0,3,1,0,0.348,0.333,0.681,4.53,4.19,2010
堂上　隼人,ソフトバンク,0.286,7,8,7,2,0,0,0,0,0,2,1,1,0.286,0.286,0.571,0.87,0.77,2010
赤松　真人,広島,0.285,113,320,291,83,4,33,20,8,3,48,14,4,0.307,0.388,0.696,4.29,4.27,2010
Ｔ−岡田,オリックス,0.284,129,520,461,131,33,96,0,49,6,136,0,11,0.358,0.575,0.933,7.10,7.02,2010
坂本　勇人,巨人,0.281,144,676,609,171,31,85,14,47,3,83,10,6,0.332,0.504,0.836,6.03,6.00,2010
阿部　慎之助,巨人,0.281,140,569,498,140,44,92,0,58,11,91,1,8,0.368,0.608,0.976,7.91,7.78,2010
倉　義和,広島,0.281,45,105,89,25,2,13,1,10,2,20,4,4,0.366,0.382,0.748,4.63,4.42,2010
鈴木　尚広,巨人,0.28,61,26,25,7,0,4,10,1,0,9,0,1,0.308,0.28,0.588,1.97,2.23,2010
小久保　裕紀,ソフトバンク,0.279,112,469,427,119,15,68,1,34,4,69,1,4,0.335,0.436,0.771,5.34,5.29,2010
日高　剛,オリックス,0.279,79,243,219,61,6,24,0,18,1,25,4,8,0.335,0.402,0.737,4.44,4.36,2010
鵜久森　淳志,日本ハム,0.278,23,40,36,10,0,2,0,2,2,15,0,0,0.35,0.333,0.683,4.69,4.61,2010
黒瀬　春樹,西武,0.278,8,19,18,5,0,0,0,0,0,3,1,1,0.278,0.389,0.667,2.86,2.56,2010
宮本　慎也,ヤクルト,0.276,129,517,468,129,4,39,2,27,3,31,18,10,0.319,0.357,0.675,3.83,3.69,2010
小田　幸平,中日,0.274,37,95,84,23,0,11,0,6,1,14,2,1,0.323,0.369,0.692,4.31,4.14,2010
カスティーヨ,横浜,0.273,131,496,466,127,19,55,3,22,4,71,1,16,0.309,0.446,0.755,4.43,4.39,2010
脇谷　亮太,巨人,0.273,132,459,414,113,7,43,28,35,3,80,6,5,0.333,0.396,0.729,5.03,4.88,2010
大和,阪神,0.273,62,50,44,12,0,4,8,4,0,8,1,1,0.327,0.318,0.645,3.66,3.89,2010
細谷　圭,ロッテ,0.273,6,22,22,6,0,3,0,0,0,7,0,0,0.273,0.318,0.591,3.07,2.90,2010
森本　稀哲,日本ハム,0.272,115,505,408,111,2,30,10,36,5,71,55,12,0.338,0.328,0.666,3.53,3.45,2010
飯原　誉士,ヤクルト,0.27,130,492,430,116,15,48,8,36,19,74,5,10,0.351,0.435,0.786,5.13,5.10,2010
オーティズ,ソフトバンク,0.27,117,457,415,112,24,81,1,31,7,91,1,8,0.329,0.489,0.818,5.64,5.65,2010
荒金　久雄,オリックス,0.269,64,204,175,47,3,16,0,14,8,49,6,4,0.348,0.423,0.771,4.95,4.78,2010
坂　克彦,阪神,0.269,28,59,52,14,2,7,1,2,2,8,1,0,0.31,0.481,0.791,5.23,5.59,2010
金　泰均,ロッテ,0.268,141,614,527,141,21,92,0,74,4,140,0,24,0.357,0.429,0.786,5.04,5.16,2010
高須　洋介,楽天,0.268,102,421,369,99,6,48,1,30,7,44,12,10,0.333,0.36,0.693,4.06,4.04,2010
高橋　由伸,巨人,0.268,116,332,280,75,13,56,2,44,2,75,0,6,0.364,0.439,0.804,5.85,6.04,2010
武内　晋一,ヤクルト,0.268,109,162,142,38,6,22,0,16,4,38,0,1,0.358,0.458,0.816,6.15,5.97,2010
東出　輝裕,広島,0.267,108,492,454,121,1,40,10,26,1,55,10,4,0.307,0.337,0.644,3.59,3.51,2010
横山　徹也,オリックス,0.267,11,15,15,4,0,1,0,0,0,6,0,1,0.267,0.333,0.6,2.01,1.82,2010
中村　紀洋,楽天,0.266,129,521,473,126,13,64,0,44,1,84,1,18,0.329,0.397,0.726,4.25,4.19,2010
ルイーズ,楽天,0.266,81,312,282,75,12,38,0,26,3,114,0,6,0.333,0.45,0.784,5.19,5.13,2010
渡辺　直人,楽天,0.265,115,425,355,94,0,26,12,39,10,43,20,8,0.353,0.31,0.663,4.03,3.94,2010
新沼　慎二,横浜,0.265,27,52,49,13,0,3,0,2,0,7,1,2,0.294,0.286,0.58,2.43,2.35,2010
ブランコ,中日,0.264,134,561,493,130,32,86,0,57,9,158,0,13,0.349,0.501,0.85,5.99,5.99,2010
上本　達之,西武,0.264,91,232,212,56,4,25,2,14,3,54,3,7,0.319,0.358,0.677,3.77,3.70,2010
石原　慶幸,広島,0.263,122,408,369,97,8,41,4,29,3,81,6,10,0.321,0.379,0.7,3.95,3.86,2010
エドガー,巨人,0.263,100,327,289,76,12,44,2,34,1,67,2,7,0.342,0.457,0.798,5.29,5.19,2010
堂上　直倫,中日,0.263,82,301,259,68,5,30,0,25,2,35,14,11,0.331,0.375,0.706,3.85,3.74,2010
里崎　智也,ロッテ,0.263,78,295,247,65,10,29,1,40,5,91,2,8,0.375,0.425,0.801,5.59,5.58,2010
嶋　重宣,広島,0.262,123,377,343,90,14,46,0,25,6,53,0,7,0.321,0.446,0.767,4.88,4.89,2010
二岡　智宏,日本ハム,0.262,103,355,328,86,7,47,0,18,1,59,5,8,0.3,0.372,0.672,3.69,3.71,2010
浅村　栄斗,西武,0.262,30,55,42,11,2,9,2,8,3,8,1,2,0.407,0.476,0.884,6.81,6.99,2010
サブロー,ロッテ,0.261,125,513,452,118,19,71,2,56,2,118,2,14,0.344,0.429,0.774,5.00,5.01,2010
ペタジーニ,ソフトバンク,0.261,81,307,264,69,10,41,0,39,0,72,0,12,0.352,0.42,0.772,4.84,4.93,2010
金子　誠,日本ハム,0.261,77,291,264,69,5,34,2,12,0,60,15,7,0.293,0.356,0.65,3.16,3.10,2010
井端　弘和,中日,0.261,53,212,180,47,0,16,0,21,3,28,6,13,0.345,0.294,0.639,2.94,2.96,2010
田口　壮,オリックス,0.261,53,131,119,31,3,10,1,7,1,28,2,4,0.302,0.387,0.689,3.76,3.86,2010
大島　裕行,西武,0.261,51,121,115,30,2,11,0,2,0,26,2,3,0.269,0.348,0.617,2.89,3.02,2010
福田　秀平,ソフトバンク,0.261,44,29,23,6,0,3,3,2,0,8,4,0,0.32,0.348,0.668,4.41,4.15,2010
星　秀和,西武,0.261,33,27,23,6,0,1,1,2,0,5,2,0,0.32,0.304,0.624,3.81,3.68,2010
大松　尚逸,ロッテ,0.26,142,603,534,139,16,68,0,56,9,99,1,16,0.339,0.403,0.741,4.58,4.56,2010
岩本　貴裕,広島,0.259,61,220,212,55,14,36,0,6,0,57,1,4,0.279,0.5,0.779,4.55,4.66,2010
大島　洋平,中日,0.258,104,374,314,81,0,17,8,29,2,52,27,2,0.323,0.315,0.638,3.58,3.55,2010
紺田　敏正,日本ハム,0.258,55,76,66,17,1,5,6,7,0,18,2,1,0.324,0.364,0.688,4.19,4.26,2010
村田　修一,横浜,0.257,144,617,565,145,26,88,0,45,4,124,0,19,0.314,0.448,0.762,4.60,4.59,2010
草野　大輔,楽天,0.257,111,378,346,89,5,48,0,23,6,43,1,7,0.313,0.379,0.692,3.91,3.84,2010
カラバイヨ,オリックス,0.257,36,125,113,29,7,18,0,11,1,46,0,0,0.328,0.478,0.806,5.81,5.79,2010
ラロッカ,オリックス,0.256,42,158,133,34,7,21,0,15,9,18,0,3,0.367,0.474,0.841,6.05,6.07,2010
阿部　真宏,西武,0.256,64,157,125,32,1,10,0,21,2,14,9,5,0.372,0.344,0.716,4.31,4.18,2010
関本　賢太郎,阪神,0.256,79,98,78,20,3,12,1,15,2,24,3,2,0.389,0.462,0.851,6.31,6.17,2010
森岡　良介,ヤクルト,0.256,21,56,43,11,0,5,0,4,1,8,8,0,0.333,0.326,0.659,3.71,3.54,2010
山本　芳彦,広島,0.256,39,46,43,11,0,2,0,1,0,15,1,0,0.267,0.279,0.546,2.55,2.76,2010
長谷川　勇也,ソフトバンク,0.255,134,519,443,113,3,32,14,51,12,97,10,8,0.346,0.314,0.66,4.11,4.09,2010
松田　宣浩,ソフトバンク,0.255,113,458,424,108,19,71,17,14,6,90,8,7,0.284,0.45,0.735,4.45,4.56,2010
桜井　広大,阪神,0.255,89,272,243,62,9,30,1,23,4,50,0,5,0.327,0.403,0.73,4.66,4.75,2010
藤川　俊介,阪神,0.255,124,183,161,41,1,10,5,9,0,32,13,2,0.294,0.373,0.667,3.67,3.42,2010
桧山　進次郎,阪神,0.254,72,71,67,17,1,12,0,3,1,18,0,0,0.296,0.373,0.669,4.07,3.97,2010
スレッジ,横浜,0.252,129,533,469,118,28,78,0,60,4,136,0,10,0.341,0.488,0.83,5.77,5.73,2010
末永　真史,広島,0.25,21,66,60,15,0,2,3,5,0,20,1,1,0.308,0.317,0.624,3.36,3.30,2010
江川　智晃,ソフトバンク,0.25,20,47,44,11,0,8,0,1,0,18,1,0,0.261,0.432,0.693,3.57,3.51,2010
早坂　圭介,ロッテ,0.25,16,29,24,6,0,3,3,1,1,3,3,1,0.308,0.25,0.558,2.32,2.36,2010
野田　浩輔,西武,0.25,5,8,8,2,0,0,0,0,0,3,0,0,0.25,0.5,0.75,4.58,3.96,2010
小宮山　慎二,阪神,0.25,10,5,4,1,0,2,0,1,0,1,0,1,0.4,0.5,0.9,3.22,2.77,2010
西川　明,中日,0.25,3,5,4,1,0,0,0,1,0,2,0,0,0.4,0.25,0.65,4.86,4.95,2010
前田　章宏,中日,0.25,9,4,4,1,0,0,0,0,0,1,0,0,0.25,0.5,0.75,4.62,3.96,2010
