選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
枡田　慎太郎,楽天,0.208,17,54,48,10,0,1,0,6,0,13,0,0,0.296,0.271,0.567,2.97,2.97,2010
小窪　哲也,広島,0.207,81,244,208,43,1,24,0,21,5,31,6,9,0.29,0.255,0.545,2.12,2.36,2010
葛城　育郎,阪神,0.207,42,66,58,12,1,3,0,7,0,12,1,3,0.292,0.293,0.585,2.33,2.40,2010
村田　和哉,日本ハム,0.207,19,37,29,6,0,2,0,3,0,4,3,1,0.265,0.207,0.472,1.18,1.88,2010
井野　卓,楽天,0.206,14,38,34,7,0,2,0,0,0,9,4,1,0.206,0.206,0.412,0.60,0.67,2010
吉村　裕基,横浜,0.205,49,141,132,27,3,11,0,5,0,41,1,5,0.229,0.303,0.532,1.47,1.81,2010
南　竜介,ロッテ,0.205,57,95,83,17,1,4,3,9,2,23,1,2,0.298,0.265,0.563,2.77,2.87,2010
Ｇ．Ｇ．佐藤,西武,0.204,53,179,162,33,6,19,1,12,1,52,0,1,0.257,0.34,0.596,2.86,3.28,2010
田上　秀則,ソフトバンク,0.203,84,255,232,47,7,25,0,10,1,61,11,6,0.238,0.341,0.578,2.24,2.35,2010
井手　正太郎,横浜,0.202,49,114,104,21,1,5,1,7,0,22,3,4,0.252,0.308,0.56,1.93,1.91,2010
小池　正晃,中日,0.202,54,99,84,17,1,5,0,5,4,20,6,2,0.28,0.286,0.565,2.21,2.23,2010
城所　龍磨,ソフトバンク,0.2,95,43,35,7,0,4,12,4,0,17,3,0,0.275,0.343,0.618,3.29,3.65,2010
下窪　陽介,横浜,0.2,3,6,5,1,0,1,0,1,0,1,0,0,0.333,0.2,0.533,2.97,3.17,2010
桑原　義行,横浜,0.2,5,5,5,1,0,0,0,0,0,4,0,0,0.2,0.2,0.4,0.59,0.74,2010
中谷　翼,広島,0.2,2,5,5,1,0,1,0,0,0,1,0,0,0.2,0.4,0.6,2.72,2.36,2010
ガイエル,ヤクルト,0.199,81,309,251,50,16,41,0,42,16,70,0,3,0.35,0.418,0.768,5.07,5.28,2010
フィリップス,楽天,0.198,26,92,81,16,2,12,0,9,1,21,0,2,0.283,0.296,0.579,2.63,2.91,2010
根元　俊一,ロッテ,0.196,53,61,51,10,1,6,0,5,1,19,4,1,0.281,0.294,0.575,2.48,2.57,2010
鬼崎　裕司,ヤクルト,0.195,60,96,87,17,1,5,0,5,0,25,3,0,0.239,0.264,0.503,1.76,1.86,2010
細川　亨,西武,0.191,112,341,293,56,8,33,1,20,5,84,23,4,0.255,0.321,0.576,2.40,2.50,2010
早川　大輔,横浜,0.19,31,100,79,15,1,6,6,11,1,14,9,0,0.297,0.241,0.537,2.61,2.76,2010
川本　良平,ヤクルト,0.19,42,88,79,15,2,9,1,6,1,18,0,2,0.25,0.304,0.554,2.10,2.50,2010
中川　裕貴,中日,0.19,13,21,21,4,1,2,0,0,0,5,0,0,0.19,0.381,0.571,2.37,2.53,2010
セギノール,オリックス,0.189,11,38,37,7,0,3,0,0,1,11,0,0,0.211,0.27,0.481,1.57,1.54,2010
塩崎　真,オリックス,0.188,35,56,48,9,1,1,0,5,1,13,2,2,0.278,0.25,0.528,1.82,2.02,2010
三輪　正義,ヤクルト,0.188,10,16,16,3,0,0,1,0,0,0,0,0,0.188,0.188,0.375,0.17,0.37,2010
武山　真吾,横浜,0.187,95,298,257,48,1,22,0,20,1,56,16,5,0.246,0.245,0.492,1.62,1.68,2010
山崎　浩司,オリックス,0.186,78,197,177,33,2,20,1,9,3,35,8,3,0.238,0.26,0.498,1.61,1.70,2010
亀井　義行,巨人,0.185,71,220,205,38,5,17,4,9,3,38,1,4,0.228,0.322,0.55,2.07,2.25,2010
リンデン,楽天,0.185,53,189,162,30,5,18,1,21,4,64,0,3,0.291,0.309,0.6,2.99,3.30,2010
斉藤　俊雄,ロッテ,0.185,21,31,27,5,0,0,0,1,0,11,3,1,0.214,0.222,0.437,0.73,0.77,2010
黒羽根　利規,横浜,0.185,17,28,27,5,0,2,0,0,0,4,1,0,0.185,0.222,0.407,0.83,0.88,2010
岩崎　達郎,中日,0.183,78,85,60,11,1,4,3,8,0,13,17,0,0.279,0.267,0.546,2.16,2.25,2010
塀内　久雄,ロッテ,0.182,51,28,22,4,0,2,0,1,0,8,5,0,0.217,0.182,0.399,0.91,1.01,2010
岡田　幸文,ロッテ,0.176,72,161,142,25,0,8,15,8,1,15,9,2,0.224,0.19,0.414,1.01,1.22,2010
高口　隆行,日本ハム,0.174,84,76,69,12,2,5,0,2,0,19,5,2,0.197,0.304,0.502,1.31,1.43,2010
山崎　憲晴,横浜,0.171,49,36,35,6,0,2,0,1,0,9,0,0,0.194,0.229,0.423,0.97,1.02,2010
會澤　翼,広島,0.17,32,56,53,9,1,5,0,2,0,16,1,3,0.2,0.245,0.445,0.51,0.66,2010
憲史,楽天,0.167,28,39,36,6,0,2,0,2,1,8,0,1,0.231,0.167,0.397,0.57,0.78,2010
福田　永将,中日,0.167,15,13,12,2,0,0,0,0,1,6,0,0,0.231,0.167,0.397,0.83,1.05,2010
迎　祐一郎,オリックス,0.167,3,9,6,1,0,0,0,1,0,0,2,0,0.286,0.167,0.452,1.71,1.81,2010
渡辺　正人,ロッテ,0.167,9,8,6,1,0,0,0,1,0,3,1,0,0.286,0.333,0.619,2.98,2.84,2010
銀次,楽天,0.167,2,6,6,1,0,0,0,0,0,0,0,0,0.167,0.167,0.333,0.10,0.27,2010
李　承ヨプ,巨人,0.163,56,108,92,15,5,11,1,12,3,26,1,0,0.28,0.337,0.617,3.36,3.67,2010
的場　直樹,ロッテ,0.16,74,209,188,30,1,19,0,13,0,61,6,6,0.212,0.213,0.425,0.71,0.95,2010
丸　佳浩,広島,0.158,14,22,19,3,0,1,1,2,0,7,0,0,0.227,0.158,0.385,1.23,1.95,2010
鈴木　郁洋,オリックス,0.156,86,224,192,30,1,12,1,14,1,65,17,3,0.217,0.208,0.426,0.95,1.09,2010
宮出　隆自,楽天,0.154,34,88,78,12,0,4,0,10,0,21,0,4,0.25,0.218,0.468,1.04,1.12,2010
新井　良太,中日,0.153,45,60,59,9,1,2,1,1,0,14,0,2,0.167,0.203,0.37,0.09,0.32,2010
濱中　治,オリックス,0.143,4,14,14,2,0,1,0,0,0,4,0,0,0.143,0.214,0.357,0.18,0.25,2010
筒香　嘉智,横浜,0.143,3,10,7,1,1,1,0,2,1,1,0,0,0.4,0.571,0.971,8.15,8.60,2010
中島　俊哉,楽天,0.143,4,7,7,1,0,0,0,0,0,2,0,0,0.143,0.143,0.286,-0.45,-0.27,2010
竹原　直隆,ロッテ,0.139,40,79,72,10,1,7,1,7,0,17,0,3,0.215,0.222,0.437,0.79,0.97,2010
後藤　武敏,西武,0.138,16,33,29,4,0,1,0,3,1,9,0,1,0.242,0.138,0.38,0.43,0.70,2010
バイナム,オリックス,0.138,16,29,29,4,0,1,0,0,0,9,0,0,0.138,0.207,0.345,0.05,0.13,2010
ムニス,ロッテ,0.136,14,24,22,3,0,1,1,1,0,5,0,1,0.167,0.182,0.348,0.10,0.63,2010
加藤　政義,日本ハム,0.136,11,22,22,3,0,1,1,0,0,10,0,0,0.136,0.182,0.318,0.03,0.16,2010
迎　祐一郎,広島,0.133,23,31,30,4,1,1,0,0,0,9,1,0,0.133,0.233,0.367,0.27,0.57,2010
明石　健志,ソフトバンク,0.128,39,51,47,6,0,0,2,2,0,12,2,1,0.163,0.17,0.333,-0.10,0.05,2010
内藤　雄太,横浜,0.125,32,35,32,4,0,2,0,1,0,12,2,2,0.152,0.125,0.277,-0.95,-0.79,2010
喜田　剛,広島,0.125,10,10,8,1,0,0,0,2,0,4,0,0,0.3,0.125,0.425,1.62,2.01,2010
森笠　繁,横浜,0.125,4,8,8,1,0,0,0,0,0,0,0,0,0.125,0.125,0.25,-0.72,-0.50,2010
中川　大志,楽天,0.111,7,27,27,3,0,2,0,0,0,12,0,1,0.111,0.111,0.222,-1.72,-1.51,2010
高谷　裕亮,ソフトバンク,0.111,23,22,18,2,0,1,0,3,0,6,1,1,0.238,0.167,0.405,0.48,0.63,2010
青野　毅,ロッテ,0.111,14,20,18,2,1,1,0,2,0,6,0,1,0.2,0.278,0.478,0.81,1.21,2010
佐藤　賢治,日本ハム,0.111,9,18,18,2,0,1,0,0,0,6,0,0,0.111,0.111,0.222,-1.06,-0.83,2010
佐伯　貴弘,横浜,0.111,10,10,9,1,0,0,0,1,0,0,0,0,0.2,0.111,0.311,0.10,0.41,2010
仲澤　忠厚,ソフトバンク,0.111,12,9,9,1,0,1,0,0,0,2,0,0,0.111,0.111,0.222,-1.03,-0.81,2010
中田　亮二,中日,0.111,9,9,9,1,0,0,0,0,0,1,0,0,0.111,0.111,0.222,-1.00,-0.78,2010
楠城　祐介,楽天,0.111,4,9,9,1,0,0,0,0,0,3,0,0,0.111,0.111,0.222,-1.06,-0.81,2010
荒木　貴裕,ヤクルト,0.1,18,21,20,2,0,0,0,0,0,9,1,0,0.1,0.1,0.2,-1.15,-0.92,2010
細山田　武史,横浜,0.094,19,33,32,3,0,1,1,1,0,6,0,0,0.121,0.125,0.246,-0.60,-0.47,2010
野口　祥順,ヤクルト,0.087,31,29,23,2,0,0,5,3,0,8,3,1,0.192,0.087,0.279,0.14,0.42,2010
平田　良介,中日,0.083,6,12,12,1,0,0,0,0,0,4,0,0,0.083,0.083,0.167,-1.53,-1.28,2010
松井　雅人,中日,0.071,13,15,14,1,0,0,0,1,0,8,0,0,0.133,0.071,0.205,-1.13,-0.81,2010
中谷　仁,楽天,0.067,11,16,15,1,0,0,0,1,0,3,0,0,0.125,0.067,0.192,-1.17,-0.85,2010
由田　慎太郎,オリックス,0.067,17,15,15,1,0,0,0,0,0,4,0,0,0.067,0.133,0.2,-1.26,-1.10,2010
角中　勝也,ロッテ,0.0,13,23,18,0,0,0,0,4,0,6,1,0,0.182,0.0,0.182,-0.81,-0.38,2010
中東　直己,広島,0.0,15,11,9,0,0,1,3,1,0,3,0,0,0.091,0.0,0.091,-0.11,1.13,2010
寺内　崇幸,巨人,0.0,31,9,8,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,-2.37,-2.13,2010
松本　高明,広島,0.0,6,8,7,0,0,0,1,1,0,0,0,0,0.125,0.0,0.125,-1.89,-1.45,2010
横川　史学,楽天,0.0,4,8,7,0,0,0,0,0,1,5,0,0,0.125,0.0,0.125,-1.68,-1.27,2010
野中　信吾,横浜,0.0,36,7,5,0,0,0,7,2,0,1,0,0,0.286,0.0,0.286,2.41,3.24,2010
斉藤　彰吾,西武,0.0,10,7,6,0,0,0,1,0,0,5,1,0,0.0,0.0,0.0,-1.65,-1.39,2010
高橋　光信,阪神,0.0,7,7,7,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,-2.79,-2.51,2010
中井　大介,巨人,0.0,6,7,6,0,0,0,0,0,1,3,0,0,0.143,0.0,0.143,-1.43,-0.99,2010
田中　雅彦,ロッテ,0.0,11,6,6,0,0,0,0,0,0,4,0,1,0.0,0.0,0.0,-3.71,-3.63,2010
岩崎　恭平,中日,0.0,4,6,4,0,0,0,0,1,0,2,1,0,0.2,0.0,0.2,-0.32,0.00,2010
大田　泰示,巨人,0.0,2,6,6,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.74,-2.48,2010
吉見　太一,西武,0.0,6,5,4,0,0,0,0,0,1,0,0,1,0.2,0.0,0.2,-2.33,-2.11,2010
大道　典嘉,巨人,0.0,5,5,5,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.74,-2.48,2010
谷　哲也,中日,0.0,3,5,5,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,-3.78,-3.74,2010
丈武,楽天,0.0,2,5,4,0,0,1,0,0,0,3,0,0,0.0,0.0,0.0,-2.07,-0.05,2010
中村　一生,中日,0.0,7,4,4,0,0,0,1,0,0,3,0,0,0.0,0.0,0.0,-1.71,-1.35,2010
梶谷　隆幸,横浜,0.0,5,4,4,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,-4.08,-3.78,2010
加治前　竜一,巨人,0.0,4,4,3,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,-1.75,-1.55,2010
伊志嶺　忠,楽天,0.0,2,4,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.75,-2.50,2010
伊藤　光,オリックス,0.0,2,4,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.75,-2.50,2010
加藤　健,巨人,0.0,4,3,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.77,-2.52,2010
関口　雄大,日本ハム,0.0,3,3,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.77,-2.52,2010
市川　友也,巨人,0.0,3,2,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.81,-2.57,2010
野口　寿浩,横浜,0.0,2,2,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.81,-2.57,2010
大村　直之,オリックス,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2010
岳野　竜也,西武,0.0,2,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,-4.80,-4.95,2010
實松　一成,巨人,0.0,2,2,2,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,-2.92,-2.70,2010
柳田　殖生,中日,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2010
中嶋　聡,日本ハム,0.0,7,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.92,-2.70,2010
岩舘　学,日本ハム,0.0,2,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.92,-2.70,2010
田上　健一,阪神,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2010
橋本　到,巨人,0.0,2,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,-2.92,-2.70,2010
志田　宗大,ヤクルト,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2010
銀仁朗,西武,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2010
村松　有人,ソフトバンク,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2010
清水　将海,中日,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.70,-2.43,2010
小坂　誠,楽天,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2010
清水　将海,ソフトバンク,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2010
立岡　宗一郎,ソフトバンク,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2010
円谷　英俊,巨人,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,2010
